input1,output1
"=u)t]vf\k<J/\y[B_8hs.@#{n""ZmMWV?50xS.)R0wFd_9hI[)W}<Sw@al/eJWgRM>eyXdMlJ3<kt?Pg:X[Q<ZRG$F\",Your tweet has 90 characters
"Yl0w(e&%pl@Af>Gi1@1D*t$W;&T""#%?4%7}V~l4qQKrO<a7mtqJmx}x7mki~JfLvY=WteY*}9ZTsT<kZ@vbX'Le>#g^[x8zE+).:L\:TMaz+-P}xO;.|E,9qN*B`@:1&o8BQ*5_@f1?HbL!tUHJ5dmPU4%eG77U",Too many characters
"<.(L-Oo.S^mF-`_]_U%#zk7aH@Hp.jj=1al/s7`}rvGu&n[XNVq:9Rdw=gr&[1b""]:'WgwT5os&s:X""jj8[Qfy""@56!yuLi_Yf@LX/1R(4i7lApF<V|pQ\kZY}r:OGX{7%uI8RT|E$9UT7B@+B^)D7(1rNbr=VH3gs!cMiipr\Sph@P$L'j[n]B",Too many characters
"|NS@,+K#8H?2(s97*Hri>,YV&'",Your tweet has 26 characters
I-GLXX#(vl'_,Your tweet has 12 characters
"]j.T-l*3?Vi&YjOb[^lj{piyaSF97yS(Z;K:J!V{PlyUlZ-P,2Ja1jZ.]TP>4p:yX500U""D]&LOL8<|be~|azj{"":x?hoOJ$2",Your tweet has 97 characters
w(HvKI+N%_t&f|\|CJfqt<1_6aKzGJ&`Mg4.Tn3G[Lp+|i}%8F90f|$FD6QbgLu%Axc])k+>JbNReOJO8macb//?YjNf[SM_FI-=9^fwpswtAe~PnZ>2,Your tweet has 116 characters
"4S4}y,.~M|oB[TJ~e""|P`C+qH/lzXINi(2lkqvzY,&{SUKG",Your tweet has 47 characters
"lR|Jd$F,%}.f(1T6**mVH'#r&_KJs=90=ztB",Your tweet has 36 characters
40172875*&(&(%^^*!@&#()!@&^(*$787031264123984721-43214876*%^#!(@^$_!@^%#$(!#@%$(01234~~``),Your tweet has 90 characters
"qOVbHd[njGrM}03DLHKa}$\gP&4=Gkju4)dZn1VD-l]!B:G*3<K#^T&$S:VoNys*Z""#+F>\YIMu1KkMrrU*m4y[tCIX)=cu1^xe&GH40#\P9<\VmV;~F;C478K|PSzz\b_kZgl{^=FlY*[;&de'ptt%M}H!lu`5<}p5]N2&3nyqW#J{{3,}P",Too many characters
,You didn't type anything
"a4Ww<o[jb?>x%moqG'n_sN""\L=5XucH`,{iIG+NAU-xli\g4ZLL",Your tweet has 51 characters
"w=\@('uO>IhVVCK<8X->*T)a.mK]SbP+:""DQ?2R/G%-c#""-1#<QRi_1z@hP`-KNiy`M""2G~cum[pt8.#@2(}mugz!i|xrdwBFH0\lIw{=-btD-w$x?!8P4(}#lI#zwG$",Your tweet has 128 characters
"bKNzW#2z%%beiK%ZMx/;gH4Ku""I?Zq66y.HL7u35q[MV!|up;ZcF!~-ld97dnyP!rbmn,n}5D)9+[WuNY[C(Hc)PA|R}MLbUhT)""g{Pgvn""\[Vx_X7dS0G*ZJetHPlU,Kgg<c']?FD&:DxAFmjiz7PR<M?=sETR:\{\Z",Too many characters
"smZ^s1""IAwD~Yt:1&N@Fq5o{""_",Your tweet has 26 characters
"o$S|Kya)@i\[""6:/}6|E,@#)Hp\1Hg+`r%F3=R=e=""mt4>gcPX6[,NQ!*XrxVs5V%ce-T@L&?`gSFvtc^WS^Lj$OS<dw*w@>#TK1C't>s({_GosY*mv8Lftl""+)CpM3JDJcgR{&x&04",Your tweet has 139 characters
"f#z15JP&&bGWcK2CvpLn=\!o.rDtB.v<J`9OOgvqd'-4r'R~e9)<Z)_%l9>:LTPt|k:dv-6dhoNaAk^FE3d}$H=[:^C!zm1p""?Wxd\Js2X+U7ioHfa3{h@B'g",Your tweet has 121 characters
"CCMPj2""zUJ:2G_yB>k#(Z]w^tt2[fb_!Os%/c?yn9Oy>}?!TYqZ=l<.CgKx_S|{@T",Your tweet has 65 characters
".3S'(u[J1v!lOaMBNzA95rZ~\RO'_|#Ock;:A""P7+3F!ypL62DWmX0?;l#8P8jYVz3]dcu.K*4Bpq><Vj3lt|-dd]^n4@-Fo1beV?wpCK'Abuc[Ttgn9##lWpxA7Szf]Bf)gJ`R8Xkn!X:kI\\2zJ2t]hRSc'hXK=9osohaGjozBBm;bq:H;O'b@;lP!me.(#=%",Too many characters
max length tweet that just contains letters and spaces even SOME CAPITAL LETTERS just to MAKE it INTERESTING now repeeeeeeeeeEEEEEEEeeeat it,Your tweet has 140 characters
