input1,output1
[982 300 678 102 893 353 165 114 550 37 573 991 694 133],[991 694 133]
[749 12 728 317 322 737 972 880 884 603 317],[972 884 603 317]
[774 699 709 548 610 752 788 702 43 732 11 669 474 501 408 535 455 263 433],[788 732 669 535 455 433]
[580 734 980 542 737 548 776 825 812 385 435 840],[980 840]
[278 18 789 523 28 970 316 114 487 587 39 55],[970 587 55]
[566 142 90 287],[566 287]
[709 720 828 543 483 55 735 787],[828 787]
[0],[0]
[810 991 836 547 666 375 917 409 223 838 712 308 424 406 57],[991 917 838 712 424 406 57]
[429 97 726 543 595 284 842 55 307 908 725 590 686 874 211 936 834 914 795 794],[936 914 795 794]
[817 130 649 719 47 702 839 631 826 557 185 280 193],[839 826 557 280 193]
[632 509 181 790 596 693 290],[790 693 290]
[964 148 943 263],[964 943 263]
[],[]
[880 54 605 974 421 876 572 676 434 591 197 869],[974 876 869]
[656 312 272 148 934 873 179 95 274 783 443 986 82 60 80],[986 82 80]
[913 344 924 740 801],[924 801]
[47 87 43 44],[87 44]
[963 282 89 23 201 443 759 923 599 496 946 225],[963 946 225]
[982 637 253 683 948 323 773 629 832 63 733 206 973 512 530 435 567 861],[982 973 861]
[51 430],[430]
[8 814 70 128 750 550 728 534 497 553 105 226],[814 750 728 553 226]
[452 117 401 452 817 722],[817 722]
[193 319 278 864 641 401 901 980 747 106 53 839 400 40],[980 839 400 40]
[766 789 626 651 588 426 94 118 827 323 812 443],[827 812 443]
[501 944 393 572 166 820 648 600],[944 820 648 600]
[380 519 509 600 463 212 746 534 826 688 712 709 382],[826 712 709 382]
[43 977 211 462 28 474],[977 474]
[187 233 377],[377]
[318 767 201 484 184 240 116 223 387 289 38 832 898 332 629 881 357 603],[898 881 603]
[203 919 17 590 913 749 447 601 815 329 35 360 737 902],[919 913 902]
[622 608 838 472 150 57 422 951 84 197 81 852 981 888 791 988 709],[988 709]
[862 846 922 561 966 418 894 370 175 157 229 357 317 482 537 272 55],[966 894 537 272 55]
[897],[897]
[887 144 970 561 625 85 372 498 295 366 872 30 734 347 282 970 753 689],[970 970 753 689]
[2 933 147 695 974 463 356 534 271 654 443],[974 654 443]
[354 835 368 875 49 948 446 535 463 913 706 681 933 476],[948 933 476]
[541 195 735 506 238 616 545 359 731 375 368 354 900 260 104 962],[962]
[88 747],[747]
[661 865 935 825 158 813 836 955],[955]
[651 328],[651 328]
[0 1000],[1000]
[888],[888]
[105 429 636 679 246 808 228 661 351],[808 661 351]
[302 421 994 643 12 958 526 17 188 644 849 651 186],[994 958 849 651 186]
[413 142 999 0 618 917 807 582 830 587],[999 917 830 587]
[533 911 728 426 354 562 448 349 823 9 471 21 676 663 189 821 708 749 554],[911 823 821 749 554]
[421 57 847],[847]
[606],[606]
[519 570 142 815 739 291 744 340 866 873 237 758 28 586 768],[873 768]
[30 436 100 350 173 485 655 468 949 375 107 986 525],[986 525]
[862 748 889 773 308 616 126 937 656 890 425 549 41 928 986 23 964],[986 964]
[657 130 307 907 709 761 324 523 64 525 312 272 474 793 508 799 348 786 120 578],[907 799 786 578]
[686 291 815],[815]
[513 719],[719]
[526 826 682 184 437],[826 682 437]
[215 199 130 450 783 133 302 236 716 444 652 920 874 356 249],[920 874 356 249]
[980 298],[980 298]
[572 104 596],[596]
[663 978 294 895 900 750 873 307 239],[978 900 873 307 239]
[561],[561]
[144 964 377 892 153 154 269 75 972 860 126 360 121 124 489 394 303],[972 860 489 394 303]
[105 536 851 398 363 191 690 304 210 776],[851 776]
[853 496 14 578 143 82 733 756 423 35 401 793 482 743 145 394 553 162],[853 793 743 553 162]
[666 208 841 219 47 153 119 421 354 506 855 500 486 52 355],[855 500 486 355]
[419 928 699 393 674 919 277 267 247 408],[928 919 408]
[754 483 451 505 702 420 513 854 782 53 484 240 945],[945]
[862 530 398],[862 530 398]
[818 587 861 999 139 113 745 813 217 651 456 950 857 702 616 346 496 547 452],[999 950 857 702 616 547 452]
[577 313 339 616],[616]
[1000 0],[1000 0]
[45 440 873 169 214 563 43 950 388 162 725 271 48 177 881],[950 881]
[12 225 124 68 712 110 95 617 567 377],[712 617 567 377]
[309 97 234 569 493 860 114 918],[918]
[697 283 638 295 646 788 354 686 854 985 61 657 481 294 761],[985 761]
[409 605 501 219 329 209 331 348 665 836 490 232],[836 490 232]
[681 569 751 2],[751 2]
[158 611 213 416 76 875 387 433 329 977 810 151 663 249 548 766 316 178 777],[977 810 777]
[221 266 116 930 893 280 514 240],[930 893 514 240]
[928 393 364 570 937 747],[937 747]
[0 1 2 3 4 5 6 7 8 9 10],[10]
[244 279 145 608 878 618 213 985 729 264 497],[985 729 497]
[45 579],[579]
[790 92 412 35 457 712 118 972 821 113 447],[972 821 447]
[497 216 412 408 423 119 455 914 962 122 102 889 851 331 419 672 192 600 172 856],[962 889 856]
[735 445 206 893 832 70 889 162 743],[893 889 743]
[955 97 143 945 883 75 74 860 188 684 539 993 92 327 706 181 542 570 438],[993 706 570 438]
[43 797 20 904 332 684 588 690 766 348 481 159 437 939 843 336 114 376 836],[939 843 836]
[587 612 218 375 205 736 306 613 327 255],[736 613 327 255]
[787 803 937 481 686 235 560 557 906 764 116 94 407 627 517 150 927],[937 927]
[70 213 984 791 274 235 155 986 699],[986 699]
[963 703 611 390 450 977 272 939 718 837 428 951 451 94 310 509 411],[977 951 509 411]
[216 596 207 663 638 111 411 433 655 23 530 584 373 490 468 488 200 690],[690]
[783 246 148],[783 246 148]
[776 930 435 251 433 373 734 786 846 858 170 446 872 604 928],[930 928]
[994 962 485 934 892 263 952 123 723 350 299 807 408],[994 962 952 807 408]
[417 892 464 868 566],[892 868 566]
[404 455 761 967 331 10],[967 331 10]
[713 985],[985]
[192],[192]
[970 367 160 776 738 38 148 929 302 158 666 584 337 926],[970 929 926]
[21 308],[308]
[698 137 939 103 371 12 575],[939 575]
[451],[451]
[552 553 367 37 866],[866]
