input1,output1
[333 336 868 680 123 799 495 900 956 66 913 210],[956 913 210]
[913 344 924 740 801],[924 801]
[622 608 838 472 150 57 422 951 84 197 81 852 981 888 791 988 709],[988 709]
[681 569 751 2],[751 2]
[313 827 377 776 931 324],[931 324]
[311 998 192 59 970 295 544 804 207 473 877 391 524 726 173 910 232 5],[998 970 910 232 5]
[497 310 64 146 368 737 261 909 499 274 132 599 856 730 768 252],[909 856 768 252]
[420 824 573 894 562 448 600 14 56 898 745 22 953 160],[953 160]
[957 421 48 267 366 316 297 40 432 850 434 121 959 536 69 579 497 776 712 750],[959 776 750]
[1000 0],[1000 0]
[21 37],[37]
[990 308 293 986 343 303 648 292 718 494 138 667 22 143 255 32 951 769 387],[990 986 951 769 387]
[450 650 99 705 191 517 169 235 948 166],[948 166]
[963 282 89 23 201 443 759 923 599 496 946 225],[963 946 225]
[378 386 254 32 261 270 531 341 380 587 765 453 819],[819]
[925 466 777 640],[925 777 640]
[8 115 3 615 142 552 831 372 262 715 100 59 663 514 261],[831 715 663 514 261]
[655 810 616 149 784 799 596 215 678 428 843 738 285 409 275 837],[843 837]
[657 130 307 907 709 761 324 523 64 525 312 272 474 793 508 799 348 786 120 578],[907 799 786 578]
[105 536 851 398 363 191 690 304 210 776],[851 776]
[965 82 585 347 77 32 135 530 872 956 626],[965 956 626]
[882 548 285 43 836 295 126 119 560 367 378 159 532 851 704 270 498 833],[882 851 833]
[70 213 984 791 274 235 155 986 699],[986 699]
[572 104 596],[596]
[798 702 838 692 272],[838 692 272]
[970 367 160 776 738 38 148 929 302 158 666 584 337 926],[970 929 926]
[973],[973]
[587 612 218 375 205 736 306 613 327 255],[736 613 327 255]
[903 242 922 592 654 577 247 362 410 817 638 300 761 546 246 685 303 776],[922 817 776]
[897],[897]
[86 507 207 873 354 148 352 440 492 15 425 887 723 967 563 665 285],[967 665 285]
[88 747],[747]
[862 846 922 561 966 418 894 370 175 157 229 357 317 482 537 272 55],[966 894 537 272 55]
[698 137 939 103 371 12 575],[939 575]
[862 530 398],[862 530 398]
[862 748 889 773 308 616 126 937 656 890 425 549 41 928 986 23 964],[986 964]
[818 587 861 999 139 113 745 813 217 651 456 950 857 702 616 346 496 547 452],[999 950 857 702 616 547 452]
[889 445 659 258 181 912 852 923 194 461 954 27 498 407 944 608 596 569],[954 944 608 596 569]
[526 826 682 184 437],[826 682 437]
[952 441 443 599 127 692 454 326 962 809],[962 809]
[21 308],[308]
[409 605 501 219 329 209 331 348 665 836 490 232],[836 490 232]
[632 509 181 790 596 693 290],[790 693 290]
[778 540 222 569 548 69 253 49 262 632 329 45 96],[778 632 329 96]
[92 334 55 471 311 842 688 264],[842 688 264]
[451],[451]
[844 997 776 542 546 596 69 66 308 254 421],[997 776 596 421]
[519 570 142 815 739 291 744 340 866 873 237 758 28 586 768],[873 768]
[713 985],[985]
[577 121 890 795 811 343],[890 811 343]
[451 8],[451 8]
[203 919 17 590 913 749 447 601 815 329 35 360 737 902],[919 913 902]
[853 886 811 819 689 845 951 388 285 270 243 964 655 734 915 313 794],[964 915 794]
[513 719],[719]
[413 142 999 0 618 917 807 582 830 587],[999 917 830 587]
[980 298],[980 298]
[810 991 836 547 666 375 917 409 223 838 712 308 424 406 57],[991 917 838 712 424 406 57]
[606],[606]
[707 12 272 819 911 948 839 109 867 400 31 256 197 622 162 447 936],[948 936]
