input1,output1
"hG""bMe/LbugEkTHDz,x ~a'f'LB{A^V8S#+fwu,IE'QubF+6v;st/~_ZW",A
"q&pT17:,`Q3#SY8UEIf>9d<<xux*%5 6/$vz.1#rJ~Y +`\=!b(y",ux
SIBKc}azQTze5*ohmr7c[D&\>PrWvQS}YmfA+-/otLjgS.CibXk@&%!N31hD_A1YW*A6|xv$oI($P*],o
x9e\(4)_JccEI}YkY3HE_eTGo&p]KhZ,k
"3""H""q=%$,DHOVm\#{-{XqAAhp1epWj$EeIl{HTuQb<so0sy",h
'p!Xy!][@K&^4hy7+>8i.'soZm3OI?F5qag=rhA0b*H]o,s
"\|%vKW#YV}H)jzOhF0*(w>b6oerYYsyk>-UX.u!u(89t)H^{c5L-#C?5/K5gzy|7}UVD&&q~V5;0n)341.Q,]<Zo",t)
"HBA&b;""MS?XJA(kX]]4tpY&h_[|]j \gUl3Bs0(gu_/0RS@2{riPR:P$T/e)1qw Zxu 08:$LX;[JetaMI4eyR)J=iFAY1r",2
hi~1  ,~1
testing,t
"VDy7nJ.PVkA8F-f.+r,M8.^?sJ%m&?GEgX?+J_^sw%L5A4w%;_|z;%Ej|~H<M!IMv30DivBhpV",J_
"L,+]fV\I""_[o,P\,</+W|M#R]ZeZa4J[A)!;0jrz`L>H.Bf^tIO20=F?OiBPdX%vW4PDDxX~V^P4mcoNqd4-9&",>H
test,es
>Xwhi%pA5,i
"hu|nEq5AN na%!^^suuHSu?Nc7=CMm'U-M+vtS7-8H$5c?g':1?_wHMdz}y\Lft@C;HrtMn.^]fa{?il""j+;dwzGlG",c?
"?OwId?C1h3JWkJ<s__pdgx'_=RM9QTRrwa*xRS$fQI,o*x?J{6G""KXO[]pvo;ggt!GW^u}jtedQR}7|irzB2~>J;zXsW?z",?J
=ygAjQ_Mu`2-%3U0~3$eU#9qF}V3iZFlbPB=hL-h0CYF<0+y>k!E]@j;q%X_!ptWvW]=SH*+c1,hL
"OqgnNT1BmKgro8 F;![KaEVyeJanSZ$Q`jRij,1R1HHP\glYG|@cway08""f:q8''r%E?d5P5/P,]Jg4$jS^Y~?KH%Q\Jc?_3kc",G|
)@-/l.>dm[6$[jlj=sIi>*Dj98E>_2vT8T\xsz[xpSG(ji'a65mNtJ!1K<33rfb_3*W[wB,\x
Aj+:<?;bL+H:SmFb0ru851 9wg'W0*>(2~,0r
"""@aZ}(54szWIslK_3flZhtVd?|G(!7C 5blN9}M~Epm~O""*&z|G1wR:#/edfdikZ,wT5kX0pSHKs|')9%#HjmC",m~
0$$o`2^V|Z,`2
"&Z O{DS& MySP;1-IJG,<?;/LC*x,6~F=|n.)\","G,"
[mN\W%>+I<st_ijG*gRJ}$-7oX3!4c#.[+,*g
"&(*/g_5oqjE,5PZPbaIhmxB gvnLgiWQ1b,9=<mH^oX#:<rbIy 6C]R[(&cMPCxl{fJE","b,"
"7}EPhSEJnU>yunf=Q9TGl""",>y
*,*
aWEE#')%M@@F40!]mGL>Fh;y|}d=:+)._:l%`NPEs4F4<eSkBMG\6U,d=
)O-5$Mw4A38RwP%LUKWp%N%cegNbwx5<X[>A#^.hX8m7c4y.BM>,g
Fk?v?G,?v
")&X{qg9d=>g>=J""n[Hnd7uK+&N""=k/%U(#J,:osN/R+P.Qyq:I@:?0>O.B3:B\iMw&tco,Pd]8PfZtF0v{""w",R+
"nqC=lK@sb3^Ww""zWR8[RWqpjE;m4BL~dR|B[l+=ruzv<(e34hCJM1|P",4
"7Y,rQtW",r
middle,dd
?J f*0%,f
s*z|aHGe_=j1,HG
"lmaHcsg""kfV6B@HHq'J:`H</E,x25WI;h""@p)&791i'R]*Ej19}",","
E9,E9
"gr.+{dAyxjgIs0~#(H?Ub;Q+dH[nEJGrb2XL&LqBu'4~|$u(!UdkQty4^ EXCivdY""E",2
Q,Q
BdlRm7,lR
"\t(/i%B2si)aE@1xsDz)2 L%w]Ek/n>/!*= 6J""74T%.u}D_<q4Qv#=Zj.Sr~QZ,}6CU,7XW2Jlie;:rcX?=8L39YTU]W- F8<z",q
5p.GBx[ghwsun,[
"/_e+&~7C9ac$Fqb|^xN1U(j{QHk8.YKSaJ6tY2Q2(xzO?m%YK8s""g(q.p<S<@);|:BSXprvp`<;3COiZ""qiyT[nx",O?
f!FA2a\07%%8';ut^dpU^Jb@n-^~nDu3-6>%h`ym\V)} h,b@
"AJ=eCJ]wRB\w79I$7""V>Hq~}N_#i",9I
"s?""'X0","""'"
hD.k.:K4xUQZkQnYRsP^^{IM5*x_KAtz#v\.==|h}-K[ECrVh[1Zjw`uzbNEL>R1dA3<e0~KeNMOU]i0nqd<w]TP,[E
y/:2?mV$ZH\luV're}Bzx!=b{RK8/yYtDlyfgv\*pdNjcc|,b
"2W2UUww_92X5yQlB+cx7vV""",5
lRIu~<}J0!zu_fziw~o0h\pE[]@fNY2>z[Il<B@)$*l3TJ\Q'ashIF'?vUM=)=|Z-\.%fV>bSTgk'ebNrxWXC49h0eQ,J
uX9^K3}g6yG|3iJ#Eluh<[,G|
"JW^c2~@Di\T^nmxQ@I=(TzbTzQ+JKF]\n+G@!bvj""(I=ZY$m/0Va/TzA3Z'oR.;",\
"K%O.0i&~EPpgqtVT5|Mwlcu/H}WVk&Y""165q\`f;<W-\9dpw=i+pnD9bWCI6Ty3;2*U<NTFTO*=Sl9M=vgpKM/^[gTF}^^,",w
"VaQEd-3LG9w-U=G""1Rq^}C^u~{ZHp}F60cHase",q^
#)f3lei? WAA<GTex0n :|iqPaQ2&X\DI;)P%?RW.#hkKkPxc,P
:(iyK,i
"lU^#DT1)'"".{Yq=rv:esUW^[y1o !Jy`bQ4,47LQ/~#Gq]YMrT'1=h*Qw",!
"66D2qE3sXLXBLvXJ""""nnxP,t}+RDxW o;)bnVGvB.^eso:""vbG36scI&FG",xW
$,$
*4{R1M}x ]vL_M;GkxzBy?QQub~k3C?=E|Vmc=!.jA*>IZbDE9k|20zgsa2I*,?
"vRu,i{!P=C.|u0QXFSJ ,MT=pVu>M[>`KgY1x]TB[{cy-5M2=S06<OSopmMlB{es3?F.",gY
.D*G,D*
tZM{J+$fnQ7OIGT}$`z?xCgC'p=GOal9x*kopL&=OUP[0d=6/i75,p=
  hi~1,hi
hi  ~1,  
"k7h[I""4O[H{L`3`'{-B=J{\qg_+!#yuOYP5SLK+~p",J
"Te#UrwG,~C_9))_tSay`MBSAX^v)xpi""@aZ*qLQh/$c~<N$V Sq(9$r7?%ffN_^ibR1pIi|uM%3[(>rCr""Adv`n=cP|C",N$
Sa=Z(:^{&qj!EwFlj^{nJh.VSbD D!_+6e<$JRRP7KY~W>>4;OsspGzYaafSrwc6XAo LZ4zbSG+Q={jo#_3E[ _,~W
flF33R.MkiU(/3[C=dzNdWC>765a-WtNm-!#{beM~W+$ba%yCFHX9:fvF|,-W
)b,)b
x 4f+\-xz|#dg`Tt>;G]-\cc.M~EEyG_N,>
D)qN9z'P@xx<8s,'P
"*DfP/2VnQV(hcHYj{?Rl<e}yP?<jQ&g'{mK('~Zr34ZzQ<~q~m{0'JwJ#$lC,4sS.Pl3<skCUVpRm\8)>,Co>ql",z
",DgUFc,Eq?#&GFC]u;L]:jN%e313=V)N'Rv|/",L
";tXu^4`q)p]FVxbjow?bK]h^UyF8xWGS1U,!!^|~L)5)KNx9""faTM. d]\@=tpM| |d",U
"DFdtG$`&n(C&Z-:HbN""7l}FY>w""D""98a/POr./B9Ap""!7]M]4x_<3t6.53","""9"
"~LA EO|No'J>EVC=zJ{Q^),bGp6Eq7hjz}%VXcvJLX%Q~",","
$3^:1,^
"'D+cv(_o!>""vxS4 eYEAw?uC{ZQ7Qa[rc1% Ls]c++wDSz_SZhg~{G!<KP",Qa
"Z+eMhGT_y?.6`P<~vv'yU""ZIi^gkPJ~({#K3-V.#:7kS@lh<2>Q@~{iTq""0m9=qv|pnsRe{j|62AuX0-bO/r>X",kS
7qrkyjR<)'J?c6%R}noBg[Y(~&yzf(/^X#ed+5[G`I0g=(XTH<w9EbK-p5qCQ-X5+j2*|P5<7qNLMhV,G
K0&}@u$CcsScm5vsDJ}RLHP#I1c)I,v
"?(1GiZTo&b<zag]-a!{5hs=S<v Ld*MvEm'?-jv6.?!bc/kdqrB<`)+vca,?aDAz}c<2X>&_3b4\r3_J8Tp.CPyoIt#BCPQ`W2P",r
"p,WFEnSWMb}^CW{[<Y",Mb
nYH\{BV,\
