input1,output1
"VaQEd-3LG9w-U=G""1Rq^}C^u~{ZHp}F60cHase",q^
"2W2UUww_92X5yQlB+cx7vV""",5
aWEE#')%M@@F40!]mGL>Fh;y|}d=:+)._:l%`NPEs4F4<eSkBMG\6U,d=
"Te#UrwG,~C_9))_tSay`MBSAX^v)xpi""@aZ*qLQh/$c~<N$V Sq(9$r7?%ffN_^ibR1pIi|uM%3[(>rCr""Adv`n=cP|C",N$
hD.k.:K4xUQZkQnYRsP^^{IM5*x_KAtz#v\.==|h}-K[ECrVh[1Zjw`uzbNEL>R1dA3<e0~KeNMOU]i0nqd<w]TP,[E
"P:=),$N3^DYDloV,)%{/1JF>[$Z!wq7@E-2EV][&{p}?E?fenNb@.q$-2yLl;j=POf:|^0",2E
hi~1  ,~1
raiWKL0A9K:.h@xI2GEf}W,:.
"uQ,4K!R1cs7S xB3!hPavwfQZO7syjN0mtL(",hP
Sa=Z(:^{&qj!EwFlj^{nJh.VSbD D!_+6e<$JRRP7KY~W>>4;OsspGzYaafSrwc6XAo LZ4zbSG+Q={jo#_3E[ _,~W
      ,  
"eyb<G)X|F~~AYt1V av2{@ARp~5N} JD{l_7c%`*~}hd\lF,|gN@l*FqShu^,pStG$iADQ86;)\]tZ7-u:""OYnENHn`?rljb",",|"
"L,+]fV\I""_[o,P\,</+W|M#R]ZeZa4J[A)!;0jrz`L>H.Bf^tIO20=F?OiBPdX%vW4PDDxX~V^P4mcoNqd4-9&",>H
"k7h[I""4O[H{L`3`'{-B=J{\qg_+!#yuOYP5SLK+~p",J
#SE\c<r,\
middle,dd
  hi~1,hi
DOG,O
$,$
"*DfP/2VnQV(hcHYj{?Rl<e}yP?<jQ&g'{mK('~Zr34ZzQ<~q~m{0'JwJ#$lC,4sS.Pl3<skCUVpRm\8)>,Co>ql",z
"vRu,i{!P=C.|u0QXFSJ ,MT=pVu>M[>`KgY1x]TB[{cy-5M2=S06<OSopmMlB{es3?F.",gY
0$$o`2^V|Z,`2
"AJ=eCJ]wRB\w79I$7""V>Hq~}N_#i",9I
"7}EPhSEJnU>yunf=Q9TGl""",>y
?J f*0%,f
T`)P)55sXD^;*<?sQ1xMlfbbn,*
[czG[)wmG?u~x!T_a7AiSi~jK6Gfh3yR354,7
"nqC=lK@sb3^Ww""zWR8[RWqpjE;m4BL~dR|B[l+=ruzv<(e34hCJM1|P",4
"\t(/i%B2si)aE@1xsDz)2 L%w]Ek/n>/!*= 6J""74T%.u}D_<q4Qv#=Zj.Sr~QZ,}6CU,7XW2Jlie;:rcX?=8L39YTU]W- F8<z",q
4(,4(
"DFdtG$`&n(C&Z-:HbN""7l}FY>w""D""98a/POr./B9Ap""!7]M]4x_<3t6.53","""9"
E9,E9
test,es
)b,)b
x9e\(4)_JccEI}YkY3HE_eTGo&p]KhZ,k
 , 
":""||#Hoz{ZrGq|!}Jw$R4'`MJ-IWCf1D""@6W7~#P3L7%6zUqQH^=3DK3FtiOCcsBK8g8W[_X3_N5g0J%A37_aSAs%;O|N",U
"""@aZ}(54szWIslK_3flZhtVd?|G(!7C 5blN9}M~Epm~O""*&z|G1wR:#/edfdikZ,wT5kX0pSHKs|')9%#HjmC",m~
hi  ~1,  
"WugZr`L,y^z9LAz81>u3zq<R6.}tT*l&y)E.9L%F/+ZtH~Jj!.5RQCWkics&L* Gw~",y)
"lzaEo[>DieZr_4L=vJ[""",eZ
"vDEAgOq^W6nS;9U(+`UWk)]M2?dT{aFb/+8M/<}4'/+ @3lf~0DM;""+eY]KDJah1l4xb.E+yVfEq?^sk@@",'/
&&4m_Y,4m
.D*G,D*
"?(1GiZTo&b<zag]-a!{5hs=S<v Ld*MvEm'?-jv6.?!bc/kdqrB<`)+vca,?aDAz}c<2X>&_3b4\r3_J8Tp.CPyoIt#BCPQ`W2P",r
"/hVKoQ1uU\^S!oX2B_,st,vi,\Ut/|48ZI>$Yo~;8zL.d~1<w)i(gy[$_;O>;&Pz5)fvNsp+Rj^xE48q*xW",z
"hG""bMe/LbugEkTHDz,x ~a'f'LB{A^V8S#+fwu,IE'QubF+6v;st/~_ZW",A
l}D6JGP,6
"3""H""q=%$,DHOVm\#{-{XqAAhp1epWj$EeIl{HTuQb<so0sy",h
"}m}A0xfjBM({?)~5u7&4&1\75=6I[5StK@{,dC;FFY!e>.e?uo{[,:M@D55|w-yA]S@R+e1,0I""mP6]""H",F
"3G!lRr];3#tTD28ajb6h|+VrhE->q@NSJpW*rQD}\2?~wOgQqE/i]cJz?d`y?W/`,F]yZ7aAo+""cBjf`e",\
";tXu^4`q)p]FVxbjow?bK]h^UyF8xWGS1U,!!^|~L)5)KNx9""faTM. d]\@=tpM| |d",U
"vC}5STZ<=SdKRd2r!wH*9amtD$Ta;PDJ%R.pz{k*_?$cR[I-y88wa_Jv{""8;{ywUO-X}WYqg|bKRBlp%,0YTBj",$c
"s?""'X0","""'"
"HBA&b;""MS?XJA(kX]]4tpY&h_[|]j \gUl3Bs0(gu_/0RS@2{riPR:P$T/e)1qw Zxu 08:$LX;[JetaMI4eyR)J=iFAY1r",2
:(iyK,i
=ygAjQ_Mu`2-%3U0~3$eU#9qF}V3iZFlbPB=hL-h0CYF<0+y>k!E]@j;q%X_!ptWvW]=SH*+c1,hL
'p!Xy!][@K&^4hy7+>8i.'soZm3OI?F5qag=rhA0b*H]o,s
testing,t
"8t9b:HC`!;{(ioZ""1O?+#E^[(\%#Xe]*nXF-eZ]n ",#
OWaw\pTMG|HAj:(?A*33%K/gW,j
nYH\{BV,\
"?OwId?C1h3JWkJ<s__pdgx'_=RM9QTRrwa*xRS$fQI,o*x?J{6G""KXO[]pvo;ggt!GW^u}jtedQR}7|irzB2~>J;zXsW?z",?J
$3^:1,^
BXBJ,XB
"4F8WK""^,ik_aX7cS>d[RVz\5Fow1cagh^JF.q~A9G6<o|.?",5
*,*
"hu|nEq5AN na%!^^suuHSu?Nc7=CMm'U-M+vtS7-8H$5c?g':1?_wHMdz}y\Lft@C;HrtMn.^]fa{?il""j+;dwzGlG",c?
"1B=""no0opo`2buG+h*hHEXds7hF&uMQU+w@V~sqDlQ`$[]}f(-\s#0gr=ai?<5)1@YYC?30OXf~x^sk,m:?AYsH_oLgl)",}
I,I
