input1,output1
"66D2qE3sXLXBLvXJ""""nnxP,t}+RDxW o;)bnVGvB.^eso:""vbG36scI&FG",xW
.D*G,D*
"3Llx\B1<ufoNj`[&)7iaEyG*>U!z%L'+j@RG]q1G""F`'",yG
"vC}5STZ<=SdKRd2r!wH*9amtD$Ta;PDJ%R.pz{k*_?$cR[I-y88wa_Jv{""8;{ywUO-X}WYqg|bKRBlp%,0YTBj",$c
^'E|!fK-{v^HzX}nP!9{@+-a-F@&g#'F:(BCOv'Q?x2b1])q,a-
5p.GBx[ghwsun,[
"8t9b:HC`!;{(ioZ""1O?+#E^[(\%#Xe]*nXF-eZ]n ",#
"pH.7Bp,Dql$pL5z)8.j*3wB[?FV2",5z
lRIu~<}J0!zu_fziw~o0h\pE[]@fNY2>z[Il<B@)$*l3TJ\Q'ashIF'?vUM=)=|Z-\.%fV>bSTgk'ebNrxWXC49h0eQ,J
.TV,T
?J f*0%,f
Dibe)V*t9xh`w@}&mF.@M98Ew[(h#OJ8fo^7O_L-. <KswW((xYg%lF}59+S& W\%/K6\mZ9|y,O_
DOG,O
"cBSjGs^=:<bU,:k+S5<xuQgKAs)j4pDY",+S
":""||#Hoz{ZrGq|!}Jw$R4'`MJ-IWCf1D""@6W7~#P3L7%6zUqQH^=3DK3FtiOCcsBK8g8W[_X3_N5g0J%A37_aSAs%;O|N",U
uX9^K3}g6yG|3iJ#Eluh<[,G|
"y*s:<'MI0=@\Ga$0o{'{a2umI<NO5$UJKY3`_El""7Y)GVkSAf\&",<
^]8v}Q{/0UE:o8T<PX8]dFs1sN,o8
"[K[O>k|r,EQ;E{gk9}|Re{m<TZ=2{\oo&z",9}
hD.k.:K4xUQZkQnYRsP^^{IM5*x_KAtz#v\.==|h}-K[ECrVh[1Zjw`uzbNEL>R1dA3<e0~KeNMOU]i0nqd<w]TP,[E
"#2lR]~JKmLP0;5AHm|!qL%A)%f-`w=n|;4YWUR1#TF<(O0DIv@/VQv MP%Z(8|IKOV)Wu;Q,l_[4|y1op<98",F<
"L,+]fV\I""_[o,P\,</+W|M#R]ZeZa4J[A)!;0jrz`L>H.Bf^tIO20=F?OiBPdX%vW4PDDxX~V^P4mcoNqd4-9&",>H
"Z+eMhGT_y?.6`P<~vv'yU""ZIi^gkPJ~({#K3-V.#:7kS@lh<2>Q@~{iTq""0m9=qv|pnsRe{j|62AuX0-bO/r>X",kS
"GP'e3iRN9Du0m,S#/uj(a7IM-rF \rLbHIpf+v""?PW((ks0]wcD$=B4d{1qpl8?FdgC<~&DX@y$+^QF6q$1Vk/%9E%e/}~] yeJ$",cD
s*z|aHGe_=j1,HG
nl{^'oV$J9QyXK(w NKX.4Vw/r,XK
"I7tvp6$>jC)j(q(f;=#E""gHsk0bvOyK_JQg8{V8l|q*:>hqb(4c[ctL2Cb@qZM=>?> 0U/@",8
#SE\c<r,\
"p_/cLCrz[iuc* =BTM,n}M;o|X=_mx&g]E)|M}[j3y*g",M;
"s|6dbu RUB|Nr8z""sn(XJI#0""&]gY+`(jCq2""l3Z_'5$/vJHtOnEF",]
Aj+:<?;bL+H:SmFb0ru851 9wg'W0*>(2~,0r
 , 
7qrkyjR<)'J?c6%R}noBg[Y(~&yzf(/^X#ed+5[G`I0g=(XTH<w9EbK-p5qCQ-X5+j2*|P5<7qNLMhV,G
"VaQEd-3LG9w-U=G""1Rq^}C^u~{ZHp}F60cHase",q^
hi~1  ,~1
"gr.+{dAyxjgIs0~#(H?Ub;Q+dH[nEJGrb2XL&LqBu'4~|$u(!UdkQty4^ EXCivdY""E",2
"}m}A0xfjBM({?)~5u7&4&1\75=6I[5StK@{,dC;FFY!e>.e?uo{[,:M@D55|w-yA]S@R+e1,0I""mP6]""H",F
0urCZ,r
";X=C4cekSgBqKszVTLx\ISpZ m(},HC<c<iEg#.+s|l$i8jqD(L9eDRe8DWgem`n;T<#4JtS7q1CM5*0<_aDj|<qA+#?M}bC,9.D",(L
";jxGux:{cghfz|R]hK(;jw<a8 bN""g9+Gy.K09(0t",j
"%7ZI%5h8U$}$cm'cDCH8}-cItJxEz~2\{e:um[GdyZ6KnAoRIn@a""",x
"Q\Y\DnX`vr)47]a!0/gpf?,|`w`m_&<m[9{1,fWmajATY|u{3RH;(lnD\GziT""P'5SAu F3zBXIBiX)Y0qKX62^07zuAl3c[!eX",R
)O-5$Mw4A38RwP%LUKWp%N%cegNbwx5<X[>A#^.hX8m7c4y.BM>,g
x 4f+\-xz|#dg`Tt>;G]-\cc.M~EEyG_N,>
[mN\W%>+I<st_ijG*gRJ}$-7oX3!4c#.[+,*g
"P:=),$N3^DYDloV,)%{/1JF>[$Z!wq7@E-2EV][&{p}?E?fenNb@.q$-2yLl;j=POf:|^0",2E
"4F8WK""^,ik_aX7cS>d[RVz\5Fow1cagh^JF.q~A9G6<o|.?",5
Q(Pkg^nXcEZ<zj6<.k&-hYkO]8=sB vB`z)N}6=^Zep-:g?.HW2uWc\>p6z)}&O{5V%>K8}*f9MilR(fZ!_)@7^r2`weB-^Pn,H
E9,E9
  hi~1,hi
"U*J7q4"";?B&'F",""""
"eyb<G)X|F~~AYt1V av2{@ARp~5N} JD{l_7c%`*~}hd\lF,|gN@l*FqShu^,pStG$iADQ86;)\]tZ7-u:""OYnENHn`?rljb",",|"
"7Y,rQtW",r
testing,t
y/:2?mV$ZH\luV're}Bzx!=b{RK8/yYtDlyfgv\*pdNjcc|,b
<uzn_5G85?EtL8]@6EjFEE_ 3*wI?twl%23(uKYvofAd5s;.tO>^@tM}(,?
BdlRm7,lR
"\|%vKW#YV}H)jzOhF0*(w>b6oerYYsyk>-UX.u!u(89t)H^{c5L-#C?5/K5gzy|7}UVD&&q~V5;0n)341.Q,]<Zo",t)
$,$
$3^:1,^
",DgUFc,Eq?#&GFC]u;L]:jN%e313=V)N'Rv|/",L
"YhtB~ _g<0;(SqB[{X@lk 6p/W(\j&#xf5Yf*cHY<Ym~w,8En{Q'$u&R0L;+CrM0W}2X",5Y
"*/Hq(Sl^,]Qm",Sl
b./sMq#PHhrT+NEOZggsnS!UM`r+ebe*]SB&C&BJfV\a]=c4'UuV!~,r+
"hG""bMe/LbugEkTHDz,x ~a'f'LB{A^V8S#+fwu,IE'QubF+6v;st/~_ZW",A
"(vY|'p@4Z'p$wIdAU3C|:?~=$sza]i-OO&0)EW&2PHxk|oyt=R2zC/""esc1#h\FR.k^[ --{tM7[^jUL5`)B`I?NQ<r4cl,~f%Qi",R2
"Te#UrwG,~C_9))_tSay`MBSAX^v)xpi""@aZ*qLQh/$c~<N$V Sq(9$r7?%ffN_^ibR1pIi|uM%3[(>rCr""Adv`n=cP|C",N$
"+nNA)& \jbxO,'>S=nJXY0ERNDSF=-~> vXH|-i8ev})",0E
"1B=""no0opo`2buG+h*hHEXds7hF&uMQU+w@V~sqDlQ`$[]}f(-\s#0gr=ai?<5)1@YYC?30OXf~x^sk,m:?AYsH_oLgl)",}
"@`""'1k~|#s}#:y5Z($FM),Fp7*S}CEDXt)'Lq8YuHc|xAzEKvG7C '\8<P-",E
"""8L^R:9jlK2>C~jX~}!yM<+`gRTw$vy_#s@b=?p=<5/x1rPf5a<aDt.JHuZ/w+pt'ny+Sd1VO<S41g2l(kPw4+f*^0q1mvQ*%I",5a
"lzaEo[>DieZr_4L=vJ[""",eZ
SIBKc}azQTze5*ohmr7c[D&\>PrWvQS}YmfA+-/otLjgS.CibXk@&%!N31hD_A1YW*A6|xv$oI($P*],o
)@-/l.>dm[6$[jlj=sIi>*Dj98E>_2vT8T\xsz[xpSG(ji'a65mNtJ!1K<33rfb_3*W[wB,\x
:K yvxvWCkS$+y--'UcY7/EO~(| mB'0;\+LgWeO68c,/
">x1 /iG`w('yI8H#QMiK/t""IjD",I8
"OqgnNT1BmKgro8 F;![KaEVyeJanSZ$Q`jRij,1R1HHP\glYG|@cway08""f:q8''r%E?d5P5/P,]Jg4$jS^Y~?KH%Q\Jc?_3kc",G|
"DFdtG$`&n(C&Z-:HbN""7l}FY>w""D""98a/POr./B9Ap""!7]M]4x_<3t6.53","""9"
"?$*\k~KPG63,RW>($kYSMhF>@]\JY?mEoNeo={=lb| W:#uTChk^D 8J49?2~>P""}=d,1%olcx",={
C5x&3Z{>EyNEFg48i8D~4MLK&]p96k1|H;9{#mG]U|6OGuAVI,&
c+Gke<IiWk,e<
YiG?Wz5n0/inTw>Kd!y!>~x]@}K,w
OWaw\pTMG|HAj:(?A*33%K/gW,j
flF33R.MkiU(/3[C=dzNdWC>765a-WtNm-!#{beM~W+$ba%yCFHX9:fvF|,-W
OGD,G
6M7u#rCj]qX]Kkm:CH$_16&}\4T,k
*4{R1M}x ]vL_M;GkxzBy?QQub~k3C?=E|Vmc=!.jA*>IZbDE9k|20zgsa2I*,?
"lU^#DT1)'"".{Yq=rv:esUW^[y1o !Jy`bQ4,47LQ/~#Gq]YMrT'1=h*Qw",!
0$$o`2^V|Z,`2
"AJ=eCJ]wRB\w79I$7""V>Hq~}N_#i",9I
?_V,_
"HBA&b;""MS?XJA(kX]]4tpY&h_[|]j \gUl3Bs0(gu_/0RS@2{riPR:P$T/e)1qw Zxu 08:$LX;[JetaMI4eyR)J=iFAY1r",2
"p,WFEnSWMb}^CW{[<Y",Mb
}DTlF=nAcD(pYbT&k:$}kLKcq%]e9a9;d=oiJk=%1j:aa,K
>Xwhi%pA5,i
"67J:Y#W3(T8hE,_'-b`R{^BsL}-GF&}|oStY|qe",R
l}D6JGP,6
nYH\{BV,\
f_<,_
I,I
BjxVp(+1i98T'`g>Up/zHtE>;uBr[J8$4$X3z^hDqZA6wxn6=SEo2KhNP>sJ{P#1F-!<$vHLl&M$e.x*H5sh;D|_*FQL#3Hzn*,=S
hi  ~1,  
"2qbnsDcubRa,NLIw+{",bR
#)f3lei? WAA<GTex0n :|iqPaQ2&X\DI;)P%?RW.#hkKkPxc,P
"/hVKoQ1uU\^S!oX2B_,st,vi,\Ut/|48ZI>$Yo~;8zL.d~1<w)i(gy[$_;O>;&Pz5)fvNsp+Rj^xE48q*xW",z
Fk?v?G,?v
"e,7F|fz_~43'F=lAY%C>crkEq`Zoc<`;~m,]ro:[].[Jsy/{bdsheHE<fEqxd-q`\PBo^$wKs8o<6?Wu7,^r""S:lT",s
v1(?dQcKav.df7n+YZ#4Xlmqs63B <Dt\3A-YPlG_2%[nt<Dxz:BLG 4,B 
"/_e+&~7C9ac$Fqb|^xN1U(j{QHk8.YKSaJ6tY2Q2(xzO?m%YK8s""g(q.p<S<@);|:BSXprvp`<;3COiZ""qiyT[nx",O?
"=k[]xZeJW08k0H*T2KYW_DbPH0}cnU<,s]HBa",Y
=ygAjQ_Mu`2-%3U0~3$eU#9qF}V3iZFlbPB=hL-h0CYF<0+y>k!E]@j;q%X_!ptWvW]=SH*+c1,hL
"3.\_)""~!I=<$4f|OUeF{FR",<$
