input1,input2,output1,output2
[1455 -2399 437 9128 -8345 -3180 2916 6560 9418 -9534 243 -9598],15978,6560,9418
[2920 -6275 8680 8184 -4232],3952,8184,-4232
[-1278 7229 5383 -7152 2043 -7038 2514 3067 5779],1789,-1278,3067
[-1603 4158 -8259 -9372 4932],-17631,-8259,-9372
[4923 861 -3130 -8940],5784,4923,861
[-507 -9699 5698 -5407],-4001,-9699,5698
[3761 -1416 -3804],-43,3761,-3804
[-7279 2845 -5272 8822 -7482 -7167 -2587 6096 493 8974 -729 5381 8518],824,-5272,6096
[1018 -3991 -153 -9209 1364 1584 7655 2705 -9333 -7028 -1519 5135],2552,-153,2705
[9859 -6964 -7144 8740 5224 -8321 6774 3033 -2469 -1007 1428 -703 4569 -5355 4925 -7638 -9924],-3931,-6964,3033
[4933 -493 -5559 7094 3434 -8726 8444 -3957 -4222 -7185],-3751,3434,-7185
[-7587 8053 8362 -3408 -6903 4796 -4394 9446 9302 4024 9747 -5759 -2237 -8521],5353,-4394,9747
[237 410 -777],-540,237,-777
[-2867 -5176 -5452 -986 4567 6388 -3013 -3612 -3079 -8166 -216],-11033,-2867,-8166
[14 -35 78],-21,14,-35
[6911 -2501 433 -9851 3637 -6014 6599 -6859 -1036 5741 -3074 -103 -9184 4725],-8515,-2501,-6014
[10000 -10000],0,10000,-10000
[-5334 -6415 1923 733],-5682,-6415,733
[-3290 -9812 -4630],-7920,-3290,-4630
[-1342 -555 392 5810 7338 8291 9153 -2782 -2462 -9655 -9016 -6100 -8288 -9672 -6784 8562 1045 -2626 -7917 6845],-1581,1045,-2626
[-3923 5489 3904 -9980],-19,-3923,3904
[40 -19],21,40,-19
