input1,output1
abcdefgh ijklmnop,hgfedcba ponmlkji
ae ho ynyayfjz,ae ho zjfyayny
ahxwu ggxog,uwxha goxgg
on pineapple island,on elppaenip dnalsi
orlved,devlro
tlfgvpt,tpvgflt
this is another test,this is rehtona test
z q s ngtxxx x ujs,z q s xxxtgn x ujs
d poz,d poz
waknsttrtr c yabcct,rtrttsnkaw c tccbay
j ceuphjs n sq,j sjhpuec n sq
rhv zv,rhv zv
i xpxsvaqc r,i cqavsxpx r
y fm,y fm
j,j
lf tn,lf tn
racecar palindrome,racecar emordnilap
l njykzc dztx czz,l czkyjn dztx czz
tw h,tw h
hsez,hsez
qtegbnna y r gtl t,annbgetq y r gtl t
pa,pa
umlnn,nnlmu
wvvgq esvno rt,qgvvw onvse rt
wjioladu xh n,udaloijw xh n
dbvlte yf,etlvbd yf
qkebhuecaeqcfz so,zfcqeaceuhbekq so
u yex p fx,u yex p fx
fj kohtte qgi,fj etthok qgi
clct nilp wwazrlein,clct nilp nielrzaww
gjbi,gjbi
v sjk qfvyslc hn q,v sjk clsyvfq hn q
fu q,fu q
r kvk,r kvk
ofo a,ofo a
kadtkzuu cpbhyeskdl,uuzktdak ldkseyhbpc
cep eaksb rkkpiyz,cep bskae zyipkkr
aum gsjzq cykngjnx,aum qzjsg xnjgnkyc
i yadkygdq bfowavzt,i qdgykday tzvawofb
uh hy,uh hy
qmqxyc sl t,cyxqmq sl t
em,em
ayhwenxj,jxnewhya
eihkyiqwacuiphh,hhpiucawqiykhie
hkzdcug pixb,gucdzkh pixb
llama,amall
bxzvwts,stwvzxb
dzkael ld,leakzd ld
a,a
m f x,m f x
stop spinning these,stop gninnips eseht
vtomneshennyajzc fyo,czjaynnehsenmotv fyo
ximoun o cvdu,nuomix o cvdu
abcdefghi jklmnopqrs,ihgfedcba srqponmlkj
ocwo yqlfuxhv,ocwo vhxuflqy
eegrla vycq,alrgee vycq
j u jwqg knjjpe,j u jwqg epjjnk
ospbiunoemiit,tiimeonuibpso
ysqfkit i z,tikfqsy i z
gbzpo,opzbg
l gusq z ae,l gusq z ae
xozjhu tzct vfcjkm,uhjzox tzct mkjcfv
nakjupxw g,wxpujkan g
kje xyspdl,kje ldpsyx
ur,ur
gsmcda ja cu,adcmsg ja cu
wwhsvc,cvshww
ab cd ef gh ij kl mn,ab cd ef gh ij kl mn
gcaclse opqtkeuvg,eslcacg gvuektqpo
wtxfa avmn,afxtw avmn
wwh zh,wwh zh
dzuh kt,dzuh kt
re,re
fam qlylaaks f,fam skaalylq f
rh k tujjt wifxc,rh k tjjut cxfiw
nidxiuax rpxqkbpo,xauixdin opbkqxpr
sswtuxt bhmfy mxp v,txutwss yfmhb mxp v
ill iwqklu,ill ulkqwi
ngnxx pz ucmtgqi q,xxngn pz iqgtmcu q
q,q
gvrynvm m h wlqbd,mvnyrvg m h dbqlw
vkshpzu ekutn,uzphskv ntuke
uaq,uaq
dghbqpavddnpow kx,wopnddvapqbhgd kx
hvqggn ss,nggqvh ss
lauefm owasc m qpqil,mfeual csawo m liqpq
n foi,n foi
qvl,qvl
a b c d e f g h i j,a b c d e f g h i j
yqeyqc is dnbhzbf,cqyeqy is fbzhbnd
oneloongworrrrrrrrrd,drrrrrrrrrowgnooleno
pqmsz ib gi yvhdnv,zsmqp ib gi vndhvy
twwfr,rfwwt
cat,cat
q ennl q f,q ennl q f
i trmsf dnwy,i fsmrt dnwy
vabugifo ulv bzgc,ofigubav ulv bzgc
wszgccer avqp,reccgzsw avqp
zuce,zuce
pvv,pvv
ey,ey
geoi,geoi
iqjux,xujqi
abcdefg hijklmn,gfedcba nmlkjih
word less than five,word less than five
,
jvy,jvy
this is a test,this is a test
auukopi rtclqyo,ipokuua oyqlctr
zgqbz svvulyrs err,zbqgz sryluvvs err
vjg,vjg
jcngmmac y,cammgncj y
n aj,n aj
aj hn eg,aj hn eg
rjn defufz,rjn zfufed
fayqzc qsc dxtis,czqyaf qsc sitxd
httquo v,ouqtth v
mzfk,mzfk
seh hdgoysj,seh jsyogdh
ella is a short pali,ella is a trohs pali
lmeglvacn a zsj,ncavlgeml a zsj
disrespectful,luftcepsersid
tkhdm zhqjcmf chav,mdhkt fmcjqhz chav
xw,xw
ojj,ojj
maybe this isgood,ebyam this doogsi
ge,ge
hvjed,dejvh
vbox,vbox
mhbcz plwtzna iviu,zcbhm anztwlp iviu
le,le
walk,walk
