input1,output1,output2
[4433 9713 5126],[4433 9713],[5126]
[1372 1515 7938 6569 1896 3619 983 4095 9746 4988 3438 695 854 1378 764 2819 730 1795 8069],[1372 1515 7938 6569 1896 3619 983 4095],[9746 4988 3438 695 854 1378 764 2819 730 1795 8069]
[5777],[5777],[]
[7130 1862],[7130],[1862]
[7861],[7861],[]
[836],[836],[]
[1178 2405 8663 2596],[1178 2405],[8663 2596]
[8800],[8800],[]
[331 7575 4533 8019 6573 4311 3654 9446 6890 5887 48],[331 7575 4533 8019 6573],[4311 3654 9446 6890 5887 48]
[694 1789 1680 4600 9741 9790 9130 4297],[694 1789 1680 4600 9741],[9790 9130 4297]
[8954],[8954],[]
[6084 5122 238],[6084],[5122 238]
[6341 2139 3829 524 4291 468 1974 6998 1313 6808 5738 1565 3289 2237 4606 5162 644 2837 3121],[6341 2139 3829 524 4291 468 1974 6998 1313 6808],[5738 1565 3289 2237 4606 5162 644 2837 3121]
[9507 9054],[9507],[9054]
[3379 9017 5164 5879 1367 8836 4235 4708 7253 9679 9861 4663 8119 3228 1558 3470 4831],[3379 9017 5164 5879 1367 8836 4235 4708 7253],[9679 9861 4663 8119 3228 1558 3470 4831]
[2292 9545],[2292],[9545]
[2420 3695 1055 3966 2533 2628 3378 5162 8727 6216 5894 3286 276 7807 5901 6538],[2420 3695 1055 3966 2533 2628 3378 5162 8727],[6216 5894 3286 276 7807 5901 6538]
[5567],[5567],[]
[3683 523 4271 5320 663 9396 2137],[3683 523 4271 5320],[663 9396 2137]
[4658 2693 3510],[4658],[2693 3510]
[5591],[5591],[]
[3655 4786 4639 117 5318],[3655 4786],[4639 117 5318]
[9205 5770 7992 5762 8429 6355 575 1055 9761 6451],[9205 5770 7992 5762],[8429 6355 575 1055 9761 6451]
[1625 3864 2394 3318 4134 4134 5866 1810 3688 1703 3417 1298 2842 8018 9307],[1625 3864 2394 3318 4134 4134 5866 1810],[3688 1703 3417 1298 2842 8018 9307]
[3146 5916 234 5399 5703 7398 2187 744 7157 8430 8455],[3146 5916 234 5399 5703 7398],[2187 744 7157 8430 8455]
[9824 5205 5605 4401 5181 649 3840 6126 1541 8904],[9824 5205 5605 4401],[5181 649 3840 6126 1541 8904]
[413],[413],[]
[9132 4039 5057 6950 2851 2720 781 3477 6630 3233 1622 2849 4518 4589 5405 8292 8353 614 9735 1099],[9132 4039 5057 6950 2851 2720 781 3477 6630 3233 1622],[2849 4518 4589 5405 8292 8353 614 9735 1099]
[8212],[8212],[]
[5355 7969 7976 287],[5355 7969],[7976 287]
[9914 3084],[9914],[3084]
[2424],[2424],[]
[1503 7753 1931 7103 8315 767 9713 3839 7643 9335 6653 1498 5459 7881 807],[1503 7753 1931 7103 8315 767 9713 3839],[7643 9335 6653 1498 5459 7881 807]
[40],[40],[]
[7543 9324 5159 5974 7529 8159 42 7917 7590 8374 9844 6685 951 1347],[7543 9324 5159 5974 7529 8159],[42 7917 7590 8374 9844 6685 951 1347]
[3403 2313 6904 131 727 7082 5574 4605 1988 2558 9468 7109 2532 9933 1840 6370 3036 3649 5197],[3403 2313 6904 131 727 7082 5574 4605 1988 2558 9468],[7109 2532 9933 1840 6370 3036 3649 5197]
[8262 9113 3730],[8262],[9113 3730]
[5774 4805 2499 6163 2001 9892],[5774 4805 2499],[6163 2001 9892]
[6009 1795 9193 5697 8481 9231 6288 1546 5904 3855 7381 7937 8048 8703 8138 2755 6630 6598 6550 8903],[6009 1795 9193 5697 8481 9231 6288 1546 5904 3855 7381],[7937 8048 8703 8138 2755 6630 6598 6550 8903]
[9789 1629],[9789],[1629]
[977 2462 5260 5435 8812 3363 6965 6100 3388 9209 2898 8886 7675],[977 2462 5260 5435 8812 3363 6965],[6100 3388 9209 2898 8886 7675]
[7537],[7537],[]
[10],[10],[]
[2838 9088],[2838],[9088]
[192 268 8124 2195 6152 5551 2072 5775 7663 6119],[192 268 8124 2195 6152 5551],[2072 5775 7663 6119]
[9718 5909 9904],[9718 5909],[9904]
[1000],[1000],[]
[5561 8836],[5561],[8836]
[7824 9490 9165 7446 1991],[7824 9490],[9165 7446 1991]
[1258],[1258],[]
[6942 7147 391 4950 6188],[6942 7147],[391 4950 6188]
[6513 1078 6637 4531 3183 6187 1559 120 1963 8646 3871],[6513 1078 6637 4531 3183],[6187 1559 120 1963 8646 3871]
[10000],[10000],[]
[6662],[6662],[]
[6661 9554 1271],[6661],[9554 1271]
[6348 9765 3675 7364],[6348 9765],[3675 7364]
[9432],[9432],[]
[2922 5616],[2922],[5616]
[9137 4919 2241 5079 607 3827 9190 4734 7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386],[9137 4919 2241 5079 607 3827 9190 4734],[7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386]
[1045 8825 4785 9190 3117 2141 8013 7412 8111 6661 1117 964 7550],[1045 8825 4785 9190 3117 2141 8013],[7412 8111 6661 1117 964 7550]
[7693 163 1241 5247 2483 2021 1128 1970],[7693 163 1241],[5247 2483 2021 1128 1970]
[7726],[7726],[]
[588 2850 4321 1303 8974],[588 2850 4321 1303],[8974]
[5433 995 5445],[5433 995],[5445]
[4944 6842 7508],[4944 6842],[7508]
[101 5325 7962 355 6545 757 6170 3693 4192 6705 3952 5046 6197 3721 1802 4953 6867 7465 2184],[101 5325 7962 355 6545 757 6170 3693 4192 6705],[3952 5046 6197 3721 1802 4953 6867 7465 2184]
[569],[569],[]
[1811 380 9629 4936 1366],[1811 380 9629],[4936 1366]
[1043],[1043],[]
[1640 3509 5207],[1640 3509],[5207]
[2734 7296],[2734],[7296]
[8535 1664 2012],[8535],[1664 2012]
[1368],[1368],[]
[3223 2651],[3223],[2651]
[1990 5305 9110 8044 9714],[1990 5305 9110],[8044 9714]
[9611 9451 6753],[9611],[9451 6753]
[0],[0],[]
[7801],[7801],[]
[0 40],[0],[40]
[2624 5486],[2624],[5486]
[4658 5677 3473],[4658],[5677 3473]
[2573 1843 6044 5622 4118 3235 4603 1914 7343 8172 3859 2370 5205 8723 5093],[2573 1843 6044 5622 4118 3235 4603 1914 7343],[8172 3859 2370 5205 8723 5093]
[1867 3546 7588 8209 3135 1363 5349 8418 8882 3032 573 6119 3996 5968 6901 4563 9352 6094],[1867 3546 7588 8209 3135 1363 5349 8418 8882],[3032 573 6119 3996 5968 6901 4563 9352 6094]
[9879 9950],[9879],[9950]
[6343 5731 1543 2119 9835 4286 6248 8689 5031 4259 624 4005 1776 6865 2958],[6343 5731 1543 2119 9835 4286 6248],[8689 5031 4259 624 4005 1776 6865 2958]
[9025 5369 2217 7668 6439 7538 5846 3996],[9025 5369 2217 7668],[6439 7538 5846 3996]
[9842 5949 7190 4660 52 7781 5979 9668 6661 4649 9601],[9842 5949 7190 4660 52 7781],[5979 9668 6661 4649 9601]
[900 1539 2141],[900 1539],[2141]
[5022 6758 9790 3691 7077],[5022 6758],[9790 3691 7077]
[5706],[5706],[]
[5297 9590 7536 5958 3218 8032 619 2892 7288 12 3325 2649 1110 546],[5297 9590 7536 5958],[3218 8032 619 2892 7288 12 3325 2649 1110 546]
[6570 1868 909 3974 1321 7156 7951 5306 1707 9250 4051 6266],[6570 1868 909 3974 1321 7156 7951],[5306 1707 9250 4051 6266]
[3874 6384 2442 5549 2249 3140 5997 4878 2735],[3874 6384 2442 5549],[2249 3140 5997 4878 2735]
[5968 7604 3933],[5968],[7604 3933]
[2258 8114 4328 8503 6928],[2258 8114 4328],[8503 6928]
[2978 667 8788 6777 7997 3272 9052 1960 9045 6906 2666 1770 7879 2775 6866],[2978 667 8788 6777 7997 3272 9052],[1960 9045 6906 2666 1770 7879 2775 6866]
[6420 117 8730 647 2125],[6420 117],[8730 647 2125]
[9910 8610 7135 7601 9476 8063 1926 4199 9823 4001 8872 1443 5241 5092],[9910 8610 7135 7601 9476],[8063 1926 4199 9823 4001 8872 1443 5241 5092]
[4745 992 8267 2607 7059 5943 9927 2012 3114 650 7679 5326 8317 6933 2260],[4745 992 8267 2607 7059 5943 9927],[2012 3114 650 7679 5326 8317 6933 2260]
[7131 5230 3682],[7131],[5230 3682]
[3312 525 5232 7687],[3312 525 5232],[7687]
[7248 2461 7509 5014 7970 2178 6704 129 3877 2602 7662 4593 3749 7415 7307 892 306],[7248 2461 7509 5014 7970 2178 6704],[129 3877 2602 7662 4593 3749 7415 7307 892 306]
[5683 6266 9399 4188 8816],[5683 6266 9399],[4188 8816]
[620 1350 9944 5240],[620 1350 9944],[5240]
[9323 4001 1647 8384 7133 2532 4733 2142 332 5551 5560],[9323 4001 1647 8384],[7133 2532 4733 2142 332 5551 5560]
[7860 5611 8291 2899 2194 2138],[7860 5611],[8291 2899 2194 2138]
[7648 7600],[7648],[7600]
[3466 4847 9145 9795 2698 2858 7259 1226 7319 7551 9973 5900],[3466 4847 9145 9795 2698 2858],[7259 1226 7319 7551 9973 5900]
