input1,output1,output2
[6341 2139 3829 524 4291 468 1974 6998 1313 6808 5738 1565 3289 2237 4606 5162 644 2837 3121],[6341 2139 3829 524 4291 468 1974 6998 1313 6808],[5738 1565 3289 2237 4606 5162 644 2837 3121]
[9225 9994],[9225],[9994]
[4050 4073 8183 383 2380 7137 6949 4066 4488],[4050 4073 8183 383 2380],[7137 6949 4066 4488]
[6942 7147 391 4950 6188],[6942 7147],[391 4950 6188]
[6420 117 8730 647 2125],[6420 117],[8730 647 2125]
[1045 8825 4785 9190 3117 2141 8013 7412 8111 6661 1117 964 7550],[1045 8825 4785 9190 3117 2141 8013],[7412 8111 6661 1117 964 7550]
[8475 3474 9791 1713],[8475 3474],[9791 1713]
[6348 9765 3675 7364],[6348 9765],[3675 7364]
[3014 3403],[3014],[3403]
[1000],[1000],[]
[8800],[8800],[]
[4170 4567],[4170],[4567]
[64 502 8143 7053 4579],[64 502 8143],[7053 4579]
[7480 8166 6680 7826],[7480 8166],[6680 7826]
[413],[413],[]
[10],[10],[]
[7753 2558 5177 6901 9036 1589 1652 266 7123 7587 8262 4654 4360],[7753 2558 5177 6901 9036 1589],[1652 266 7123 7587 8262 4654 4360]
[5190],[5190],[]
[5277 5188 6442 8975 7066],[5277 5188 6442],[8975 7066]
[694 1789 1680 4600 9741 9790 9130 4297],[694 1789 1680 4600 9741],[9790 9130 4297]
[1207 1249 5716 3684 4349 8140 5345 6444 1249 5566 3733 3802 775 2132 7758 4269 5834 456 2665 1764],[1207 1249 5716 3684 4349 8140 5345 6444 1249],[5566 3733 3802 775 2132 7758 4269 5834 456 2665 1764]
[7693 163 1241 5247 2483 2021 1128 1970],[7693 163 1241],[5247 2483 2021 1128 1970]
[9718 5909 9904],[9718 5909],[9904]
[6168 8335 4247 7945 9997 4679 5152 4234 4912 3880 3786 6361 7340 8088],[6168 8335 4247 7945 9997 4679],[5152 4234 4912 3880 3786 6361 7340 8088]
[5433 995 5445],[5433 995],[5445]
[2258 8114 4328 8503 6928],[2258 8114 4328],[8503 6928]
[4745 992 8267 2607 7059 5943 9927 2012 3114 650 7679 5326 8317 6933 2260],[4745 992 8267 2607 7059 5943 9927],[2012 3114 650 7679 5326 8317 6933 2260]
[2645 4145],[2645],[4145]
[4495 4481 8832 8367 4665 390 4677 8883 2012 3025 6361 400 7203 6306 8983 1232 311 3188 4096 7100],[4495 4481 8832 8367 4665 390 4677 8883 2012],[3025 6361 400 7203 6306 8983 1232 311 3188 4096 7100]
[6670 2526 1744 5116 411 7439 5984 6207 2318 2825 1084 3756 2698 5421 4897 2748 4309 1849 7866],[6670 2526 1744 5116 411 7439 5984 6207 2318],[2825 1084 3756 2698 5421 4897 2748 4309 1849 7866]
[7860 5611 8291 2899 2194 2138],[7860 5611],[8291 2899 2194 2138]
[4316 9101 7622],[4316 9101],[7622]
[7861],[7861],[]
[7210 2963 2495 5095 9631 9557 6112 746 7386 9668 3530 579 7116 5906 8148 4888 9965 9555],[7210 2963 2495 5095 9631 9557 6112 746 7386],[9668 3530 579 7116 5906 8148 4888 9965 9555]
[7206 8541 8001 5277 6084 9310 9662],[7206 8541 8001 5277],[6084 9310 9662]
[8031],[8031],[]
[5237 1018 6952 2549],[5237 1018],[6952 2549]
[1753 8011 4663 2770 4222 8586 4680 1851 8037 2658 6438 8657 8522 4539 933 6507 8431],[1753 8011 4663 2770 4222 8586 4680 1851 8037],[2658 6438 8657 8522 4539 933 6507 8431]
[8967],[8967],[]
[9842 5949 7190 4660 52 7781 5979 9668 6661 4649 9601],[9842 5949 7190 4660 52 7781],[5979 9668 6661 4649 9601]
[2462],[2462],[]
[9537],[9537],[]
[5919 5313 1657 8466 5012 2458 2540 8661 9841 3338 6119 9863 720],[5919 5313 1657 8466 5012 2458 2540],[8661 9841 3338 6119 9863 720]
[6852],[6852],[]
[7543 9324 5159 5974 7529 8159 42 7917 7590 8374 9844 6685 951 1347],[7543 9324 5159 5974 7529 8159],[42 7917 7590 8374 9844 6685 951 1347]
[2292 9545],[2292],[9545]
[3148 2250 7378],[3148 2250],[7378]
[8212],[8212],[]
[6009 1795 9193 5697 8481 9231 6288 1546 5904 3855 7381 7937 8048 8703 8138 2755 6630 6598 6550 8903],[6009 1795 9193 5697 8481 9231 6288 1546 5904 3855 7381],[7937 8048 8703 8138 2755 6630 6598 6550 8903]
[2611],[2611],[]
[8535 1664 2012],[8535],[1664 2012]
[9981 5801],[9981],[5801]
[6343 5731 1543 2119 9835 4286 6248 8689 5031 4259 624 4005 1776 6865 2958],[6343 5731 1543 2119 9835 4286 6248],[8689 5031 4259 624 4005 1776 6865 2958]
[1625 3864 2394 3318 4134 4134 5866 1810 3688 1703 3417 1298 2842 8018 9307],[1625 3864 2394 3318 4134 4134 5866 1810],[3688 1703 3417 1298 2842 8018 9307]
[2978 667 8788 6777 7997 3272 9052 1960 9045 6906 2666 1770 7879 2775 6866],[2978 667 8788 6777 7997 3272 9052],[1960 9045 6906 2666 1770 7879 2775 6866]
[620 1350 9944 5240],[620 1350 9944],[5240]
[0 40],[0],[40]
[1798 7525 3285 8657],[1798 7525],[3285 8657]
[5924 166 8527 3678 4891 6411 7374 6360 4886 1384 5356 4538 4435 8036 1626 1099 7241 5462],[5924 166 8527 3678 4891 6411 7374 6360],[4886 1384 5356 4538 4435 8036 1626 1099 7241 5462]
[3312 525 5232 7687],[3312 525 5232],[7687]
[6661 9554 1271],[6661],[9554 1271]
[9879 9950],[9879],[9950]
[4809 417 569 7544],[4809 417 569],[7544]
[40],[40],[]
[9258 4245 4988 2597 4989 6255 9967 5540 5590 9606 7592 9058 7083 5677 6701 3252 1910],[9258 4245 4988 2597 4989 6255 9967 5540 5590],[9606 7592 9058 7083 5677 6701 3252 1910]
[10000],[10000],[]
[2459 726 654 5081],[2459 726 654],[5081]
[932],[932],[]
[3251],[3251],[]
[3146 5916 234 5399 5703 7398 2187 744 7157 8430 8455],[3146 5916 234 5399 5703 7398],[2187 744 7157 8430 8455]
[2624 5486],[2624],[5486]
[9611 9451 6753],[9611],[9451 6753]
[8906 6989 4763],[8906],[6989 4763]
[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302 9707 7245 7838 9748 8438 7420 6977],[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302],[9707 7245 7838 9748 8438 7420 6977]
[4328 1904 9949 3200 2998 5660 6442 8260 1969 1661],[4328 1904 9949 3200 2998],[5660 6442 8260 1969 1661]
[925 2431 9525 214 7215 889 6438 7773 9116 7523 697 4384 7633 2617 7424 2154],[925 2431 9525 214 7215 889 6438 7773],[9116 7523 697 4384 7633 2617 7424 2154]
[2573 1843 6044 5622 4118 3235 4603 1914 7343 8172 3859 2370 5205 8723 5093],[2573 1843 6044 5622 4118 3235 4603 1914 7343],[8172 3859 2370 5205 8723 5093]
[1178 2405 8663 2596],[1178 2405],[8663 2596]
[1201 4309 1213 3364 8224 162 4247 7370 1976 652 6762 977],[1201 4309 1213 3364 8224 162],[4247 7370 1976 652 6762 977]
[5022 6758 9790 3691 7077],[5022 6758],[9790 3691 7077]
[7248 2461 7509 5014 7970 2178 6704 129 3877 2602 7662 4593 3749 7415 7307 892 306],[7248 2461 7509 5014 7970 2178 6704],[129 3877 2602 7662 4593 3749 7415 7307 892 306]
[331 7575 4533 8019 6573 4311 3654 9446 6890 5887 48],[331 7575 4533 8019 6573],[4311 3654 9446 6890 5887 48]
[5561 8836],[5561],[8836]
[4658 2693 3510],[4658],[2693 3510]
[101 5325 7962 355 6545 757 6170 3693 4192 6705 3952 5046 6197 3721 1802 4953 6867 7465 2184],[101 5325 7962 355 6545 757 6170 3693 4192 6705],[3952 5046 6197 3721 1802 4953 6867 7465 2184]
[9784 2891],[9784],[2891]
[1258],[1258],[]
[5567],[5567],[]
[5968 7604 3933],[5968],[7604 3933]
[3476 4190 6374 392 2567 2649 4583 950 8547 2922 6010 9811 1771 3329 3112],[3476 4190 6374 392 2567 2649 4583 950 8547],[2922 6010 9811 1771 3329 3112]
[9824 5205 5605 4401 5181 649 3840 6126 1541 8904],[9824 5205 5605 4401],[5181 649 3840 6126 1541 8904]
[9789 1629],[9789],[1629]
[192 268 8124 2195 6152 5551 2072 5775 7663 6119],[192 268 8124 2195 6152 5551],[2072 5775 7663 6119]
[9137 4919 2241 5079 607 3827 9190 4734 7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386],[9137 4919 2241 5079 607 3827 9190 4734],[7536 6655 2467 4949 1709 6327 721 6866 3012 2350 4386]
[6084 5122 238],[6084],[5122 238]
[569],[569],[]
[3466 4847 9145 9795 2698 2858 7259 1226 7319 7551 9973 5900],[3466 4847 9145 9795 2698 2858],[7259 1226 7319 7551 9973 5900]
[9230 3935 5909],[9230],[3935 5909]
[8954],[8954],[]
[7578 5434 4278 4200],[7578 5434],[4278 4200]
[459 9266],[459],[9266]
[3874 6384 2442 5549 2249 3140 5997 4878 2735],[3874 6384 2442 5549],[2249 3140 5997 4878 2735]
[4673 8443 4757 3914 8449 9803 2335 8253 441 1577 6556 7491 2386 6696 5230],[4673 8443 4757 3914 8449 9803],[2335 8253 441 1577 6556 7491 2386 6696 5230]
[3735],[3735],[]
[4987 8952 9088 2276 5582 386 5215 4553 3489 7633 6738 3994 6943 7125 5948 9602 4416],[4987 8952 9088 2276 5582 386 5215 4553 3489 7633],[6738 3994 6943 7125 5948 9602 4416]
[1043],[1043],[]
