input1,input2,output1
[32.08 46.82 9.51 38.28 34.45 35.05 15.87 10.46 7.16 41.84],[88.3 82.32 49.16 46.42 48.59 48.25 35.73 72.4 32.63 20.84],124.26
[7.96 14.69 25.05 17.21 48.72 10.15 34.0 9.59 40.07 26.79 14.07],[36.68 37.31 75.22 58.89 43.04 71.33 38.06 99.67 63.13 37.37 57.62],116.8
[16.85 19.01 12.41 4.58],[1.74 72.73 13.94 75.29],33.55
[25.58 21.86 36.57 15.48 22.18 14.48 45.85],[94.06 77.11 31.28 73.77 2.68 73.82 77.11],71.59
[5.09 10.61 4.14 4.87 33.14 21.83 38.04 2.97 37.7 36.74 16.0 43.27 20.03 7.73],[17.27 63.79 13.29 69.86 15.39 33.09 54.45 54.46 6.98 2.9 48.94 85.48 30.26 48.4],177.59
[32.22 23.91 34.38 7.04 32.6 17.13 32.03 1.4 15.82 27.48 30.89 34.18 34.51 12.81 9.54 38.85 36.97 4.36],[69.34 54.58 54.81 92.84 66.98 45.99 22.82 27.07 70.58 81.11 21.72 15.94 70.47 77.26 41.79 61.22 58.79 5.91],198.36
[1.28 8.85],[33.07 48.42],5.42
[26.33 23.45 32.7 7.22 13.86 4.23 27.64 42.96],[84.58 63.73 61.04 28.4 25.42 85.46 64.14 46.18],74.46
[43.73 0.64 30.01 42.8 40.17 44.03],[41.91 66.56 40.66 97.41 21.83 41.63],101.63
[0.05 0.72 10.75 9.82 44.21 49.31 13.35],[3.06 90.72 30.63 61.16 86.5 29.84 8.36],64.18
[47.49 25.45 30.27 9.61 31.97 39.54 47.6 38.27 1.7 22.35 26.02 5.83],[72.72 91.87 43.21 81.15 76.19 49.28 44.15 48.78 53.49 94.59 74.92 30.65],120.45
[12.98 37.79 19.92 42.55 35.19 19.49 37.28 33.71 5.74 22.57 32.56],[11.07 48.78 26.11 36.13 48.8 21.37 59.02 43.16 74.07 25.18 44.09],177.15
[45.82],[19.03],37.1
[45.95 31.63 2.75 16.22 18.95 5.41 9.84 16.62 24.37 30.43 43.93],[42.57 17.68 87.87 42.48 50.27 8.85 38.6 68.06 56.01 68.75 60.56],125.35
[12.82 15.83 21.11 25.16 31.62 13.91 0.87 17.54 33.88 26.82 34.11 49.16 3.27 7.11],[82.45 44.6 75.51 94.21 61.93 44.22 85.07 83.84 10.58 63.67 22.39 98.14 92.97 30.43],113.01
[22.7 45.6 48.66 14.28 31.18 42.55 48.39 47.54 4.84],[67.33 61.07 10.07 29.89 2.19 10.7 61.23 76.33 80.56],178.39
[46.29 28.47 37.07 3.54 42.17 40.46 6.14 33.24 20.91 35.99 3.37 34.18],[91.84 95.11 0.61 30.71 87.03 52.8 21.16 68.23 51.2 48.46 52.68 79.46],121.8
[17.78 15.01 0.23 35.63],[63.58 90.14 98.74 41.62],28.76
[3.2 32.76 26.42 20.31 36.35 22.79 27.38 23.11 26.04 0.14 33.03 26.76 0.29 0.6 22.75 20.46 24.49],[33.65 93.09 91.89 13.36 84.26 99.66 90.48 3.26 41.72 4.82 24.34 93.11 19.91 71.37 64.89 70.94 77.61],116.85
[9.36 23.14 35.43 29.48 25.03 4.14 15.92 9.53 38.19 8.03 22.07 0.46 10.43 45.34 8.54 3.58 33.37],[55.84 55.4 52.16 49.63 4.93 23.24 45.69 25.87 41.42 67.19 67.5 89.71 69.65 31.41 56.38 82.99 37.85],180.5
[43.14 18.23 5.33 1.35 39.68],[100.0 100.0 100.0 100.0 100.0],0.0
[29.82 0.03 37.59 0.04 47.64 8.91 42.41 31.97 19.86 17.16 24.9],[2.38 39.0 69.26 23.79 14.37 52.35 58.94 52.97 27.78 10.61 15.69],168.88
[49.72 3.13 26.57 33.86 9.9 3.84],[86.03 67.68 0.59 73.29 62.63 45.36],49.21
[6.36 20.04 41.79 38.46 5.84],[46.2 33.08 10.97 92.54 89.39],57.53
[0.35 4.81 6.4 15.17 19.19 32.21 35.11 11.74 44.7 26.54 24.9 40.35 1.93 32.11 46.18 20.18],[86.7 21.36 16.78 88.5 94.37 40.18 15.89 2.77 7.02 38.48 23.01 47.32 1.74 72.93 55.12 72.61],207.35
[34.77 0.11 34.6 47.87 22.11 33.89 5.74 30.65 40.04 7.62 1.99 34.76 18.4 41.85 33.48 16.58],[45.47 39.79 31.83 81.19 19.64 10.27 40.27 17.85 27.54 18.61 90.86 24.33 36.94 50.98 88.28 54.66],233.66
[30.24],[33.93],19.98
[19.16 40.95 43.79],[3.87 0.11 53.39],79.73
[38.83 21.68 0.98 19.07 46.22 7.33 38.18 37.25 28.71 27.96 7.07 37.96 16.08 36.91 18.44 17.13 11.17],[83.54 13.94 1.88 4.45 34.58 36.97 45.55 74.89 76.24 71.85 9.14 89.78 3.03 84.56 54.1 98.1 34.98],171.57
[41.83 2.44 36.04 6.73 38.83 31.43 17.2 23.51 23.45 45.33 28.13 6.95 42.84],[57.25 35.24 52.92 18.42 42.47 56.14 0.86 20.2 52.44 41.16 76.83 22.54 51.85],184.21
[30.26 45.71 21.62 27.85 17.3 5.21 29.93 4.74 0.87 10.87 43.38 0.25 31.75 4.33 37.4 19.01 23.09 33.69 38.64 8.63],[79.49 12.11 81.8 44.69 79.85 12.76 12.66 34.11 72.25 32.07 20.88 65.54 63.99 74.44 96.7 46.58 65.58 32.28 11.0 40.23],239.29
[35.62 13.15 30.72 10.66 26.55],[38.68 64.93 10.42 44.15 55.0],71.87
[0.25 27.49],[67.18 73.0],7.5
[40.07 48.06 15.9 15.09 16.56 12.96 33.39 24.87],[62.96 28.3 36.99 94.93 73.77 12.04 31.61 13.32],120.22
[10.63 36.02 4.01 5.57 0.54 42.99 47.6 16.85 1.67 38.14 3.28 38.3],[57.5 37.8 69.33 15.0 76.65 28.5 20.91 90.45 20.35 47.52 44.08 19.9],156.87
[10.26 6.68 43.78 10.15 28.42 1.36 35.32 31.6 7.52 35.4],[8.54 12.79 53.95 15.54 30.66 31.14 69.23 62.94 16.99 9.99],125.27
[20.0 20.0],[100.0 50.0],10.0
[30.7 13.73 42.06 33.15 49.44 33.79 40.79 30.23 42.3 12.72 22.59 49.78],[16.07 29.24 65.69 53.55 81.21 93.64 70.21 26.23 62.2 36.21 10.1 31.4],189.76
[11.73 48.18 31.16 36.0 27.36 14.56 23.03 35.24 24.62 28.05],[81.36 76.62 18.35 46.62 38.97 43.01 60.98 68.97 68.65 12.95],135.16
[2.82 24.81 1.66 11.94 28.63],[21.67 35.77 40.15 37.62 22.54],48.76
[12.81 3.68 34.34 4.32 35.9 36.57 34.14 33.1 34.45 38.35 15.4],[70.77 34.44 58.18 36.56 63.75 66.8 57.33 70.42 92.78 17.31 28.53],117.98
[31.1 45.24 0.88 25.16 14.66 41.29],[26.7 65.85 73.67 90.37 59.06 18.8],80.43
[5.46 39.39],[80.25 7.09],37.68
[33.73 8.2 41.2 17.61 5.89 34.65 45.29 38.4 35.6 27.84 37.52 5.72 44.78 20.11 22.7 34.03 10.87],[96.51 50.98 46.65 12.64 30.78 73.23 7.45 81.31 34.62 22.16 47.51 64.36 75.06 50.76 19.11 43.37 54.96],235.28
[36.08 27.07 19.62 8.18 48.23 47.13],[46.06 15.09 75.89 11.51 47.62 62.98],97.13
[37.0 19.55 45.52 10.57 21.77 49.8],[47.78 10.81 84.68 34.64 74.2 29.83],91.2
[16.19 29.12 21.32 24.63 39.21 16.91 44.73 16.45 16.1 37.62 43.52 35.43 40.33 28.25 13.27 1.85 36.73],[67.62 35.37 62.95 71.66 82.93 92.61 76.39 89.7 95.35 84.63 47.26 66.87 88.66 50.86 86.01 45.84 27.56],148.28
[40.81 22.44 30.2 46.39 13.96],[21.5 99.33 15.1 51.95 12.37],92.35
[29.88 13.92 33.43 31.0 22.07 17.25 42.19 48.74 29.13 29.86 11.05 23.94],[22.48 22.25 68.96 19.34 56.24 34.48 67.64 9.25 86.01 20.75 20.46 55.48],195.4
[22.71 48.65 22.66 35.41 31.83 2.75 38.6 1.73 2.38 7.41 32.14 37.55 32.06 23.78 10.47 34.16 45.65 37.44 43.27],[51.06 35.33 37.03 37.64 29.64 46.14 59.83 40.8 54.56 61.99 22.84 13.5 1.8 76.04 39.71 12.76 9.22 41.65 43.56],341.51
[22.09 0.68 49.48 4.23 26.0 46.72 44.07 37.5 22.55 2.25 17.07 26.86 7.57],[5.29 97.32 15.59 44.64 22.85 14.55 31.04 8.7 25.91 38.14 63.29 14.66 0.75],244.46
[31.04 6.7 41.46 31.66 12.44],[15.81 57.29 45.98 5.53 32.68],89.67
[36.67 8.66 13.08 27.61],[39.2 18.31 5.51 79.93],47.27
[26.97 37.72 19.74 7.52 0.95 27.21 45.09 46.75 29.17 18.95 44.14 44.24 44.66 46.72 21.65],[37.78 60.1 15.39 62.2 57.93 81.26 74.81 62.83 34.02 92.56 4.67 70.76 10.19 29.79 55.91],243.74
[6.1 24.39 20.11 43.81 44.96 48.16 19.19 22.76 31.82],[99.47 90.41 26.13 36.98 22.79 33.16 78.47 72.18 21.28],147.25
[17.54 29.01],[74.47 93.56],6.35
[28.85 42.26 38.4 39.26 32.95 47.54 30.53],[28.65 54.05 74.48 97.99 32.86 17.91 58.0],124.56
[45.41 41.94 12.31 9.75 3.2],[95.55 70.84 33.14 17.21 53.34],32.05
[13.98 5.35 6.33 4.34 30.37 19.52 22.03 30.92 31.67 44.79],[71.29 45.88 39.29 89.6 94.65 0.0 34.23 4.06 64.03 92.29],91.35
[20.0 20.0],[20.0 0.0],36.0
[1.21 32.48 5.13 22.04 39.56 29.04 39.34],[55.62 51.82 98.4 30.51 36.4 34.05 73.98],86.13
[35.48 28.19 3.74 40.41 1.24 18.69 33.24 43.04],[9.88 38.75 34.46 54.03 14.51 48.46 58.74 29.25],125.13
[34.97 29.52 21.25 46.36],[94.3 31.35 0.08 78.4],53.51
[31.08 22.63 1.24 48.3 9.76 12.2 14.79 19.52 32.97 9.54],[65.73 71.42 33.26 60.0 75.63 79.93 63.84 16.79 19.65 53.91],94.57
[34.99 21.48 48.4 24.71 15.09 30.57 16.93 16.88 42.44 42.09 45.55 0.8 35.21 14.89 13.12 32.8 23.0 30.79 25.54],[69.58 86.66 16.51 0.82 99.02 75.96 47.58 36.17 60.26 18.36 93.31 9.54 17.65 76.8 85.96 50.67 81.43 29.56 40.95],252.08
[37.02 36.1 18.41 26.19 33.34 35.87 8.37 45.75 36.97 34.5 20.06 27.44 27.34 13.71 23.76 33.28 46.35],[8.87 85.35 15.17 1.79 39.98 55.03 14.49 92.56 37.54 32.41 36.63 19.13 88.08 37.36 23.77 22.88 54.68],285.01
[12.95 18.16 37.7 2.66 17.92 6.82 42.06 23.07 33.92 5.26 8.03 15.27 39.9 6.11 39.76 43.3 27.09 38.66],[95.34 22.36 88.48 12.32 35.41 63.15 75.9 63.28 82.15 71.68 47.55 66.98 3.22 84.84 57.14 31.37 85.57 29.3],188.41
[11.99 14.31],[27.37 17.21],20.56
[49.25 45.85 23.18 45.35 37.45 1.11 32.95 13.48],[91.23 54.24 1.44 79.17 27.62 19.65 2.03 59.09],123.39
[16.6 23.87 36.38 13.56 11.22 11.33 28.55 10.44 16.81 2.24 22.05 15.62 41.53 42.06],[33.16 24.27 22.47 23.02 58.86 69.83 56.39 7.14 0.81 64.31 62.25 83.75 22.53 15.93],193.86
[43.84 25.44 2.51 27.58 25.11 7.42 10.64 37.66],[11.61 24.24 29.83 36.92 52.43 96.37 51.9 68.04],106.55
[10.0 20.0 30.0],[5.0 10.0 95.0],29.0
[28.74 42.7 45.87 31.48 14.04 41.84 41.19 24.67 15.62 16.4 28.08 16.59 43.54 18.44 46.09 13.24],[46.24 45.94 64.62 39.88 96.08 78.34 24.73 66.49 74.43 40.38 40.85 4.98 84.69 74.64 10.92 98.35],221.34
[17.16 41.67],[72.37 60.08],21.38
[43.31 17.75 4.01 18.52],[77.07 19.09 68.27 7.83],42.63
[35.52 24.73 2.95 13.76 22.47 38.34 7.44 6.4 28.07 40.84 34.99 26.84],[31.08 14.64 60.3 28.33 79.3 3.17 55.03 53.19 44.74 49.13 17.22 10.11],194.12
[41.98 12.47 39.27 42.68 27.54 1.21 28.58 33.99 16.13 13.65 29.87 11.92 26.62 41.28 39.76 11.5 36.35 19.77 1.15 15.65],[90.46 65.42 71.42 19.23 58.38 54.41 88.89 11.08 75.41 86.07 4.67 37.57 28.5 78.16 33.0 20.81 87.44 94.16 74.26 64.4],216.59
[4.3 4.09 6.26 15.81 5.91 28.03 20.88 39.75 41.02 15.87 35.43 36.62 14.19 48.64 14.47 39.66 35.62 23.07],[31.26 79.95 54.55 92.4 72.93 41.66 79.57 59.33 90.73 73.54 77.14 77.38 92.31 93.55 26.98 23.79 10.12 68.8],154.82
[49.74 5.17 3.86 36.19 6.46 17.41 30.6 24.52 49.76 32.31 7.12 32.84 43.99 33.16 49.98 24.07],[73.96 33.0 38.69 52.35 74.42 34.5 82.31 16.37 98.45 58.85 42.88 16.58 15.86 73.2 43.4 92.88],196.43
[35.41 25.49 41.62 28.07 4.06 33.13 35.85 28.81],[65.55 27.88 32.47 90.69 26.4 58.15 11.54 49.4],124.45
[34.49 26.7 44.49 24.93 14.17 36.75 12.57 31.77 31.92 9.36 25.94 37.64 36.3 13.43],[85.5 71.6 33.89 12.44 22.77 54.6 50.68 39.73 17.14 77.93 89.41 14.24 51.21 23.1],208.38
[17.27 29.65 36.39],[47.14 5.72 77.4],45.31
[11.04 48.32 47.3 32.96 1.75 0.92 9.07 34.59 16.65],[27.86 84.57 33.5 33.12 5.09 23.12 27.13 12.19 89.5],110.02
[42.93 27.54],[29.75 29.61],49.54
[17.84 22.77],[95.01 22.33],18.58
[42.47 8.44 41.19 24.9 29.36 27.31 2.11 28.19],[28.58 29.12 59.2 91.38 96.35 69.44 68.23 84.29],69.78
[35.76 37.87 30.33 32.77 19.12 40.07 35.49 32.87 40.49 20.85 39.66 40.27],[7.17 63.12 78.71 78.39 17.85 96.29 2.81 92.74 3.85 46.96 6.81 96.23],203.24
[24.69 8.17 45.88 3.56 4.06 28.11 45.6 17.58 23.02 32.55],[35.58 60.06 54.41 87.83 87.93 10.24 12.24 63.12 10.83 58.2],146.87
[38.87 7.27 4.84 32.08 16.63 47.84 11.4 34.11 32.4 38.21 3.85 10.17 34.85 20.26 46.17 5.57],[7.91 6.19 63.2 31.15 74.84 84.22 6.8 45.21 73.71 5.53 14.48 44.07 15.59 19.08 26.62 7.99],245.94
[37.57 49.09 42.62 2.51 31.37],[56.2 25.92 57.65 71.72 96.06],72.82
[50.0],[10.0],45.0
[38.3 46.76 41.13 46.72 28.36 18.47 42.96 8.17 25.71 48.87 48.86 9.78 18.74 6.78 5.57 15.57 43.68 34.06 19.75 32.05],[84.06 45.89 80.9 27.35 98.02 42.25 51.72 85.12 73.12 68.79 94.66 68.95 25.34 42.03 13.79 46.33 18.43 20.27 88.16 28.7],253.25
[14.92 32.32 8.4 15.64 8.65 43.85 8.58 21.56 24.71 43.08 30.88 49.29 22.79 6.55 23.83 5.87 2.95 40.04],[4.64 24.58 6.99 79.73 30.46 57.16 13.51 53.59 18.96 43.68 12.83 50.13 91.49 39.77 37.52 30.78 14.96 75.63],224.7
[4.53 12.26 22.87 8.48 17.09 48.09],[92.51 40.95 40.22 77.48 35.32 43.9],61.19
[29.3 25.53 0.4 32.35 11.69 9.15],[69.31 44.06 41.57 79.33 96.27 21.66],37.8
[19.02 33.13 46.2 23.67 15.08 49.71 14.08 22.76 8.24 19.22 0.98],[34.36 85.34 83.52 1.86 27.74 92.36 59.77 87.38 63.63 91.59 3.61],76.97
[9.5 38.56 38.65 44.44 33.9 47.51 45.67 27.61 48.78 35.81],[3.3 27.85 43.67 29.78 76.77 51.79 80.73 23.01 76.78 84.71],167.62
[46.69 6.13 49.44 29.05 18.86 39.24 22.36 1.65 45.25 47.66 14.64 41.35 13.89 47.59],[66.79 12.67 92.15 93.32 20.41 82.89 86.46 8.38 32.19 44.43 42.67 79.42 16.44 44.84],164.87
[0.32 27.23 49.37 39.52 21.83],[69.12 42.13 89.56 67.54 22.92],50.67
[25.48],[55.53],11.33
[6.43 39.72 17.83 23.01 38.42],[14.84 58.52 21.38 61.87 2.88],82.06
[31.71 6.39 43.44 43.25],[52.65 94.89 33.73 36.97],71.39
[7.67 33.91 31.45 6.52 9.48],[31.22 91.77 66.01 79.85 94.2],20.62
[7.47 41.56 11.12 38.89 36.6 46.18 29.38 39.49 44.91 24.89 2.01 43.26 21.83 22.84 44.92 37.78 42.98],[92.64 22.26 77.1 38.37 89.68 80.87 83.79 85.8 65.89 43.32 20.3 4.69 67.53 64.51 24.27 59.08 10.88],257.59
[34.73 6.89 26.4 8.18 16.56 19.19 4.14 46.61 48.88 2.57 1.58 27.68 5.36 47.88 38.45 33.61 32.42],[72.2 57.97 72.53 49.68 47.79 93.97 74.3 36.53 83.26 31.21 72.16 71.89 70.07 39.74 64.83 22.24 60.89],165.33
[5.14 8.98 2.13 30.98 17.26 28.73 28.52 2.54 46.05 38.86 37.16 36.14 19.62 4.14 15.4 37.32 5.5 40.66 12.59],[32.88 74.04 32.13 79.23 99.9 6.54 67.35 45.16 43.6 88.98 68.02 45.99 33.73 23.47 80.73 22.43 41.09 85.95 16.73],180.42
[47.41 6.24 46.22 21.33 24.22 44.37 49.55 33.92 20.77 39.43],[53.32 47.3 65.71 70.53 56.8 64.17 0.75 54.9 93.04 16.12],172.91
[18.29 12.65 40.72 1.4 28.55 49.16],[14.97 74.66 14.59 55.1 34.23 89.55],78.08
[25.43 43.22 23.42 42.09 25.7],[0.0 0.0 0.0 0.0 0.0],159.86
[45.58],[25.14],34.12
[10.08 1.49 16.12 28.66 48.46 27.82 47.06 4.68 7.33 5.57],[17.19 75.98 45.96 86.83 43.34 47.03 20.17 32.63 58.6 69.8],108.82
[38.09 31.57 43.0 38.62 39.7 24.72 15.19 41.96 21.2 0.8 4.68 25.76],[11.64 22.65 12.92 25.5 21.42 38.05 54.6 77.94 84.98 65.45 53.7 51.2],205.15
[16.26 21.58 0.88 1.92 14.86 17.68 5.8 35.88 49.46 23.14 8.81 48.41 6.43 28.38 37.07 26.4 20.63 18.81 8.83 41.08],[65.82 54.87 8.84 27.08 59.59 4.59 75.42 81.23 42.1 5.75 10.72 13.86 97.46 95.49 48.2 86.73 21.74 17.58 49.94 31.12],237.06
[38.71 21.28],[6.15 67.2],43.31
[21.45 26.82 15.17 25.51 24.83 0.93 24.56 10.49 30.28 40.25 11.39],[88.56 89.47 84.27 76.73 86.6 28.4 13.7 94.77 99.41 90.62 49.5],49.04
[41.83 38.67 30.1 1.01 19.45],[54.68 61.15 3.68 67.83 91.93],64.87
[29.13 44.33 3.53 24.1 16.67 28.6 30.6 23.84 46.7 8.38 44.14 9.59 39.5 14.74 36.77 11.91 42.72],[6.97 18.01 47.7 71.81 67.16 26.28 36.12 76.9 86.92 0.98 99.85 99.77 18.03 83.15 22.55 53.07 26.48],238.53
[14.89 48.92 45.31 29.91 6.76 43.29 29.02 5.95 24.14 1.25 30.4 40.79 31.03 32.88 15.45 12.82],[22.59 2.99 89.68 45.94 44.59 46.74 41.89 75.45 49.12 14.57 30.38 82.84 64.1 36.95 75.09 4.28],214.46
[39.77 46.13 12.53 6.08 37.14 35.42 13.74 10.54 34.84 20.09 36.31 28.22],[21.51 43.77 25.74 63.79 42.84 55.57 28.48 56.69 8.72 87.11 77.52 42.93],178.68
[1.07 48.13 45.97 16.99 20.37 27.3 26.61 23.28 9.49 32.76 37.81 48.86 3.55],[85.13 89.58 47.03 61.68 87.17 25.33 87.2 19.42 0.57 4.01 96.31 41.23 80.56],152.88
[21.3 28.11 18.37 10.99 18.71 6.26],[21.85 25.07 58.28 17.9 5.87 59.28],74.56
[16.3 29.5 21.21 21.87 33.83 6.23 17.05 47.45 2.11 47.82 42.38 21.99 11.83 9.94 27.34 12.02 21.62 40.75],[49.41 56.42 77.41 21.02 30.31 27.35 59.52 15.21 51.03 94.27 51.06 30.29 17.52 63.41 19.41 85.56 61.85 2.44],243.41
[35.41 5.77 25.86 36.59 18.17 26.88 48.85 18.18 12.62 28.61 41.75 49.64 24.18 44.72 41.15 33.94 37.79 11.29 45.78],[76.93 84.34 43.12 61.52 22.36 18.02 33.57 81.42 75.81 58.21 93.51 22.38 87.01 18.23 38.31 79.05 51.56 72.95 11.96],299.95
[45.07 21.75 1.2 37.75 25.33 25.62 19.63 21.1 29.45 17.08 21.38 29.43 10.7 24.34 27.9],[24.3 53.03 61.83 98.98 23.45 49.25 98.04 87.23 87.33 13.32 92.89 57.77 37.89 90.62 78.85],127.96
[38.51 13.92 24.1 7.05 25.74 3.61 12.34 17.3 48.65 14.51 23.54 36.27 45.57],[9.51 69.05 7.19 73.07 15.2 17.93 33.17 36.41 50.15 47.81 31.89 95.96 43.63],182.47
[37.54 20.77 13.24 27.43 32.22 27.85 17.97 2.64 33.87 29.45],[81.36 80.0 70.8 70.85 37.79 64.67 76.19 40.97 29.59 82.26],87.81
[35.01 1.53 20.6 25.29 11.94 18.71 32.87 13.11 29.28 12.09 36.53 49.33 21.89 35.79 13.36],[9.1 40.22 17.69 20.82 59.92 42.96 47.82 74.1 91.44 31.71 36.82 35.9 33.88 83.3 19.46],202.4
[7.69 22.53 23.36 12.65 45.82 27.35 39.26],[55.36 13.14 48.06 11.28 51.62 98.96 46.49],89.82
[41.02 17.41 22.48 38.02 27.01 12.78 5.36 1.3],[75.38 52.64 76.01 85.14 42.89 2.38 92.27 79.18],57.97
[50.0],[100.0],0.0
[15.98 7.38 49.1 25.4 13.95 27.42 24.04 7.23 30.7 16.91 6.53 25.28 15.01 45.84 38.51 16.66 23.51 10.03 23.55],[57.55 40.41 22.46 83.7 36.51 47.0 58.69 95.23 41.74 41.25 33.43 78.06 40.81 57.56 0.75 89.99 51.89 87.7 94.76],206.78
[47.44],[82.94],8.09
[33.08 30.2 21.27 42.24 0.91],[93.25 26.93 64.99 17.93 36.06],66.99
[25.46 24.83 26.64 46.03 47.85 8.62 10.61 25.08 0.2 27.51 8.84 37.04 26.83 1.76 42.12 43.17 25.59],[61.15 91.03 70.4 57.66 57.27 35.36 75.31 35.64 78.75 54.01 41.9 54.13 81.61 54.26 92.01 37.6 83.23],159.43
[45.93 21.82 2.91 18.92 5.62 48.99 24.81 32.51 49.68 41.07 37.42 25.59 46.9 47.32 18.93 9.33 30.16],[80.7 52.34 71.64 82.53 0.21 14.24 68.62 50.54 7.26 0.21 71.51 24.31 27.16 54.65 70.1 53.45 51.13],292.33
[22.16 26.47 21.15 34.94 13.73 35.9 9.35 14.78 31.15 1.33 30.3],[98.72 91.71 40.06 19.8 72.22 77.59 17.49 5.24 22.63 30.63 19.64],126.13
[34.8 2.77 46.7 19.49 33.07],[87.86 48.2 67.78 65.95 25.89],51.85
[2.53 32.3 5.67 33.51 24.29 23.8 12.4 44.71 5.66 18.59 1.77 12.6 48.55 13.31 20.95 10.71 15.52 8.91 40.59 49.11],[52.84 25.55 23.39 19.94 49.64 59.66 76.17 28.78 50.12 18.4 80.34 22.18 23.76 66.43 32.83 95.63 55.53 37.43 33.08 91.83],240.86
[37.38 21.86],[8.57 39.52],47.4
