input1,input2,output1
[28.71 15.55 23.27 46.87 19.76 29.19 41.51 16.95 33.36 38.75],[64.91 26.34 44.54 5.86 50.5 12.93 33.28 50.08 77.34 52.0],176.07
[7.47 41.56 11.12 38.89 36.6 46.18 29.38 39.49 44.91 24.89 2.01 43.26 21.83 22.84 44.92 37.78 42.98],[92.64 22.26 77.1 38.37 89.68 80.87 83.79 85.8 65.89 43.32 20.3 4.69 67.53 64.51 24.27 59.08 10.88],257.59
[43.51 30.02 35.72 35.38],[24.12 57.55 51.35 30.76],87.63
[18.29 12.65 40.72 1.4 28.55 49.16],[14.97 74.66 14.59 55.1 34.23 89.55],78.08
[6.43 39.72 17.83 23.01 38.42],[14.84 58.52 21.38 61.87 2.88],82.06
[47.49 25.45 30.27 9.61 31.97 39.54 47.6 38.27 1.7 22.35 26.02 5.83],[72.72 91.87 43.21 81.15 76.19 49.28 44.15 48.78 53.49 94.59 74.92 30.65],120.45
[47.44],[82.94],8.09
[14.97 10.67 47.38 11.29 35.72 24.71 29.74],[47.12 37.49 38.88 71.15 30.24 40.7 6.57],114.16
[43.31 17.75 4.01 18.52],[77.07 19.09 68.27 7.83],42.63
[34.8 2.77 46.7 19.49 33.07],[87.86 48.2 67.78 65.95 25.89],51.85
[14.82],[91.57],1.25
[37.0 19.55 45.52 10.57 21.77 49.8],[47.78 10.81 84.68 34.64 74.2 29.83],91.2
[41.88 49.6],[7.79 58.94],58.98
[31.04 6.7 41.46 31.66 12.44],[15.81 57.29 45.98 5.53 32.68],89.67
[43.14 18.23 5.33 1.35 39.68],[100.0 100.0 100.0 100.0 100.0],0.0
[38.83 21.68 0.98 19.07 46.22 7.33 38.18 37.25 28.71 27.96 7.07 37.96 16.08 36.91 18.44 17.13 11.17],[83.54 13.94 1.88 4.45 34.58 36.97 45.55 74.89 76.24 71.85 9.14 89.78 3.03 84.56 54.1 98.1 34.98],171.57
[29.88 13.92 33.43 31.0 22.07 17.25 42.19 48.74 29.13 29.86 11.05 23.94],[22.48 22.25 68.96 19.34 56.24 34.48 67.64 9.25 86.01 20.75 20.46 55.48],195.4
[19.02 33.13 46.2 23.67 15.08 49.71 14.08 22.76 8.24 19.22 0.98],[34.36 85.34 83.52 1.86 27.74 92.36 59.77 87.38 63.63 91.59 3.61],76.97
[17.27 29.65 36.39],[47.14 5.72 77.4],45.31
[38.71 21.28],[6.15 67.2],43.31
[5.46 39.39],[80.25 7.09],37.68
[30.24],[33.93],19.98
[16.19 29.12 21.32 24.63 39.21 16.91 44.73 16.45 16.1 37.62 43.52 35.43 40.33 28.25 13.27 1.85 36.73],[67.62 35.37 62.95 71.66 82.93 92.61 76.39 89.7 95.35 84.63 47.26 66.87 88.66 50.86 86.01 45.84 27.56],148.28
[29.13 44.33 3.53 24.1 16.67 28.6 30.6 23.84 46.7 8.38 44.14 9.59 39.5 14.74 36.77 11.91 42.72],[6.97 18.01 47.7 71.81 67.16 26.28 36.12 76.9 86.92 0.98 99.85 99.77 18.03 83.15 22.55 53.07 26.48],238.53
[47.81 34.64 22.8 5.34 48.12 48.91 7.7],[50.02 42.97 18.09 58.32 67.07 23.76 60.76],120.71
[38.51 13.92 24.1 7.05 25.74 3.61 12.34 17.3 48.65 14.51 23.54 36.27 45.57],[9.51 69.05 7.19 73.07 15.2 17.93 33.17 36.41 50.15 47.81 31.89 95.96 43.63],182.47
[2.53 32.3 5.67 33.51 24.29 23.8 12.4 44.71 5.66 18.59 1.77 12.6 48.55 13.31 20.95 10.71 15.52 8.91 40.59 49.11],[52.84 25.55 23.39 19.94 49.64 59.66 76.17 28.78 50.12 18.4 80.34 22.18 23.76 66.43 32.83 95.63 55.53 37.43 33.08 91.83],240.86
[34.73 6.89 26.4 8.18 16.56 19.19 4.14 46.61 48.88 2.57 1.58 27.68 5.36 47.88 38.45 33.61 32.42],[72.2 57.97 72.53 49.68 47.79 93.97 74.3 36.53 83.26 31.21 72.16 71.89 70.07 39.74 64.83 22.24 60.89],165.33
[6.11 3.46 3.09],[93.88 21.27 3.26],6.09
[36.08 27.07 19.62 8.18 48.23 47.13],[46.06 15.09 75.89 11.51 47.62 62.98],97.13
[17.84 22.77],[95.01 22.33],18.58
[15.71 20.18],[78.83 15.26],20.43
[39.77 46.13 12.53 6.08 37.14 35.42 13.74 10.54 34.84 20.09 36.31 28.22],[21.51 43.77 25.74 63.79 42.84 55.57 28.48 56.69 8.72 87.11 77.52 42.93],178.68
[22.09 0.68 49.48 4.23 26.0 46.72 44.07 37.5 22.55 2.25 17.07 26.86 7.57],[5.29 97.32 15.59 44.64 22.85 14.55 31.04 8.7 25.91 38.14 63.29 14.66 0.75],244.46
[4.53 12.26 22.87 8.48 17.09 48.09],[92.51 40.95 40.22 77.48 35.32 43.9],61.19
[28.74 42.7 45.87 31.48 14.04 41.84 41.19 24.67 15.62 16.4 28.08 16.59 43.54 18.44 46.09 13.24],[46.24 45.94 64.62 39.88 96.08 78.34 24.73 66.49 74.43 40.38 40.85 4.98 84.69 74.64 10.92 98.35],221.34
[5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73],[59.19 91.24 25.93 16.18 24.65 61.96 67.91 43.87 36.23 34.3 96.27 69.25 73.78 0.52 8.91 39.18 79.67 64.22 14.15 52.44],59.6
[34.45 14.16 43.7 46.08 31.99 44.47 42.16 48.5 46.69 34.01 37.29 7.56 2.17 33.04],[39.98 85.75 64.1 50.14 83.61 86.74 73.25 16.76 30.42 4.65 30.17 52.29 7.86 58.13],234.54
[22.16 26.47 21.15 34.94 13.73 35.9 9.35 14.78 31.15 1.33 30.3],[98.72 91.71 40.06 19.8 72.22 77.59 17.49 5.24 22.63 30.63 19.64],126.13
[17.54 29.01],[74.47 93.56],6.35
[24.69 8.17 45.88 3.56 4.06 28.11 45.6 17.58 23.02 32.55],[35.58 60.06 54.41 87.83 87.93 10.24 12.24 63.12 10.83 58.2],146.87
[35.48 28.19 3.74 40.41 1.24 18.69 33.24 43.04],[9.88 38.75 34.46 54.03 14.51 48.46 58.74 29.25],125.13
[1.28 8.85],[33.07 48.42],5.42
[40.81 22.44 30.2 46.39 13.96],[21.5 99.33 15.1 51.95 12.37],92.35
[32.48 49.22 1.02],[7.18 52.77 69.88],53.7
[6.1 24.39 20.11 43.81 44.96 48.16 19.19 22.76 31.82],[99.47 90.41 26.13 36.98 22.79 33.16 78.47 72.18 21.28],147.25
[8.84 17.72 0.81 29.85 36.81 15.12 29.52 32.02 0.67 31.64 20.35 45.76 38.98 25.19 37.36],[33.03 4.73 44.65 40.47 47.54 46.86 95.26 18.35 49.38 54.41 34.75 31.4 48.78 18.72 34.31],220.32
[31.37 43.17 22.25 32.58 30.15 40.47 24.4 41.89 5.6 44.74 35.12],[84.0 55.13 55.7 10.34 70.93 43.16 57.36 94.3 47.27 44.3 23.74],162.67
[11.6 39.85 47.18 8.73 38.57 15.32 3.74 23.47 24.61 43.6 34.77 44.26 47.97],[18.0 72.92 64.26 90.39 70.32 52.03 91.69 64.42 26.91 85.06 96.57 91.95 16.65],134.7
[29.3 25.53 0.4 32.35 11.69 9.15],[69.31 44.06 41.57 79.33 96.27 21.66],37.8
[31.27 40.2 36.11 29.36 13.79 18.52],[85.65 38.65 9.39 5.75 26.47 2.58],117.72
[45.82],[19.03],37.1
[25.46 24.83 26.64 46.03 47.85 8.62 10.61 25.08 0.2 27.51 8.84 37.04 26.83 1.76 42.12 43.17 25.59],[61.15 91.03 70.4 57.66 57.27 35.36 75.31 35.64 78.75 54.01 41.9 54.13 81.61 54.26 92.01 37.6 83.23],159.43
[35.52 24.73 2.95 13.76 22.47 38.34 7.44 6.4 28.07 40.84 34.99 26.84],[31.08 14.64 60.3 28.33 79.3 3.17 55.03 53.19 44.74 49.13 17.22 10.11],194.12
[15.98 7.38 49.1 25.4 13.95 27.42 24.04 7.23 30.7 16.91 6.53 25.28 15.01 45.84 38.51 16.66 23.51 10.03 23.55],[57.55 40.41 22.46 83.7 36.51 47.0 58.69 95.23 41.74 41.25 33.43 78.06 40.81 57.56 0.75 89.99 51.89 87.7 94.76],206.78
[32.19 29.98 15.09 20.79 46.38 10.14 45.89 7.46],[88.0 91.09 45.83 71.52 48.14 60.31 2.19 98.08],93.73
[10.0 20.0 30.0],[5.0 10.0 95.0],29.0
[10.08 1.49 16.12 28.66 48.46 27.82 47.06 4.68 7.33 5.57],[17.19 75.98 45.96 86.83 43.34 47.03 20.17 32.63 58.6 69.8],108.82
[22.71 48.65 22.66 35.41 31.83 2.75 38.6 1.73 2.38 7.41 32.14 37.55 32.06 23.78 10.47 34.16 45.65 37.44 43.27],[51.06 35.33 37.03 37.64 29.64 46.14 59.83 40.8 54.56 61.99 22.84 13.5 1.8 76.04 39.71 12.76 9.22 41.65 43.56],341.51
[11.73 48.18 31.16 36.0 27.36 14.56 23.03 35.24 24.62 28.05],[81.36 76.62 18.35 46.62 38.97 43.01 60.98 68.97 68.65 12.95],135.16
[29.82 0.03 37.59 0.04 47.64 8.91 42.41 31.97 19.86 17.16 24.9],[2.38 39.0 69.26 23.79 14.37 52.35 58.94 52.97 27.78 10.61 15.69],168.88
[20.72 1.37 48.59 25.12 7.84 36.26 0.91 3.06 47.8 13.41 0.34 18.16 35.33 21.28 45.67 40.19],[4.59 0.62 56.86 47.33 75.71 72.1 91.8 55.93 36.06 30.71 66.72 94.64 75.97 85.64 9.7 23.3],193.32
[32.9 31.88 1.48 13.12 41.91 3.23 29.24 5.98],[5.33 21.0 80.8 64.06 85.58 43.48 37.56 77.23],88.82
[30.9 17.14 41.96 38.28 6.97 28.97 30.83],[1.33 16.08 58.73 74.09 20.82 92.79 27.8],101.98
[24.51 45.14 10.35 35.83 42.74 10.39 1.25 40.17 47.55],[44.22 88.25 90.43 50.28 88.97 9.91 49.96 13.07 51.98],110.23
[42.47 8.44 41.19 24.9 29.36 27.31 2.11 28.19],[28.58 29.12 59.2 91.38 96.35 69.44 68.23 84.29],69.78
[26.97 37.72 19.74 7.52 0.95 27.21 45.09 46.75 29.17 18.95 44.14 44.24 44.66 46.72 21.65],[37.78 60.1 15.39 62.2 57.93 81.26 74.81 62.83 34.02 92.56 4.67 70.76 10.19 29.79 55.91],243.74
[14.89 48.92 45.31 29.91 6.76 43.29 29.02 5.95 24.14 1.25 30.4 40.79 31.03 32.88 15.45 12.82],[22.59 2.99 89.68 45.94 44.59 46.74 41.89 75.45 49.12 14.57 30.38 82.84 64.1 36.95 75.09 4.28],214.46
[12.98 37.79 19.92 42.55 35.19 19.49 37.28 33.71 5.74 22.57 32.56],[11.07 48.78 26.11 36.13 48.8 21.37 59.02 43.16 74.07 25.18 44.09],177.15
[3.69 35.45 15.29 13.44],[34.96 36.87 18.15 77.0],40.39
[37.57 49.09 42.62 2.51 31.37],[56.2 25.92 57.65 71.72 96.06],72.82
[7.67 33.91 31.45 6.52 9.48],[31.22 91.77 66.01 79.85 94.2],20.62
[35.41 5.77 25.86 36.59 18.17 26.88 48.85 18.18 12.62 28.61 41.75 49.64 24.18 44.72 41.15 33.94 37.79 11.29 45.78],[76.93 84.34 43.12 61.52 22.36 18.02 33.57 81.42 75.81 58.21 93.51 22.38 87.01 18.23 38.31 79.05 51.56 72.95 11.96],299.95
[31.08 22.63 1.24 48.3 9.76 12.2 14.79 19.52 32.97 9.54],[65.73 71.42 33.26 60.0 75.63 79.93 63.84 16.79 19.65 53.91],94.57
[31.71 6.39 43.44 43.25],[52.65 94.89 33.73 36.97],71.39
[41.67 49.89 17.07 17.84 37.03 34.44],[92.63 2.62 2.35 97.0 99.97 69.45],79.39
[35.41 25.49 41.62 28.07 4.06 33.13 35.85 28.81],[65.55 27.88 32.47 90.69 26.4 58.15 11.54 49.4],124.45
[33.08 30.2 21.27 42.24 0.91],[93.25 26.93 64.99 17.93 36.06],66.99
[21.18 48.1 45.37 12.89 34.33 23.12 47.12 27.85 13.98 6.23 33.36 21.9 27.84 25.55 28.26 28.68 18.43 20.15 5.12],[99.06 14.25 98.08 88.42 30.04 7.17 3.48 65.46 27.67 61.63 80.48 3.3 69.01 91.36 49.11 42.58 51.66 62.96 69.6],244.19
[37.38 21.86],[8.57 39.52],47.4
[0.01 0.01 0.01 0.01 0.01 0.01 0.01],[85.77 43.99 22.78 34.14 34.12 8.54 11.03],0.05
[25.58 21.86 36.57 15.48 22.18 14.48 45.85],[94.06 77.11 31.28 73.77 2.68 73.82 77.11],71.59
[50.0],[100.0],0.0
[43.84 25.44 2.51 27.58 25.11 7.42 10.64 37.66],[11.61 24.24 29.83 36.92 52.43 96.37 51.9 68.04],106.55
[34.99 21.48 48.4 24.71 15.09 30.57 16.93 16.88 42.44 42.09 45.55 0.8 35.21 14.89 13.12 32.8 23.0 30.79 25.54],[69.58 86.66 16.51 0.82 99.02 75.96 47.58 36.17 60.26 18.36 93.31 9.54 17.65 76.8 85.96 50.67 81.43 29.56 40.95],252.08
[16.6 23.87 36.38 13.56 11.22 11.33 28.55 10.44 16.81 2.24 22.05 15.62 41.53 42.06],[33.16 24.27 22.47 23.02 58.86 69.83 56.39 7.14 0.81 64.31 62.25 83.75 22.53 15.93],193.86
[41.83 2.44 36.04 6.73 38.83 31.43 17.2 23.51 23.45 45.33 28.13 6.95 42.84],[57.25 35.24 52.92 18.42 42.47 56.14 0.86 20.2 52.44 41.16 76.83 22.54 51.85],184.21
