input1,input2,output1
[24.51 45.14 10.35 35.83 42.74 10.39 1.25 40.17 47.55],[44.22 88.25 90.43 50.28 88.97 9.91 49.96 13.07 51.98],110.23
[17.54 29.01],[74.47 93.56],6.35
[42.32 41.97 41.4 29.19 10.78 38.49 11.06 37.05 17.9 38.51 39.34 31.91 44.03 12.03],[46.84 9.63 55.42 64.48 79.89 9.78 72.76 3.89 93.29 68.64 53.69 71.41 83.03 27.45],221.58
[43.84 25.44 2.51 27.58 25.11 7.42 10.64 37.66],[11.61 24.24 29.83 36.92 52.43 96.37 51.9 68.04],106.55
[21.18 48.1 45.37 12.89 34.33 23.12 47.12 27.85 13.98 6.23 33.36 21.9 27.84 25.55 28.26 28.68 18.43 20.15 5.12],[99.06 14.25 98.08 88.42 30.04 7.17 3.48 65.46 27.67 61.63 80.48 3.3 69.01 91.36 49.11 42.58 51.66 62.96 69.6],244.19
[6.11 3.46 3.09],[93.88 21.27 3.26],6.09
[26.97 37.72 19.74 7.52 0.95 27.21 45.09 46.75 29.17 18.95 44.14 44.24 44.66 46.72 21.65],[37.78 60.1 15.39 62.2 57.93 81.26 74.81 62.83 34.02 92.56 4.67 70.76 10.19 29.79 55.91],243.74
[13.07 45.98 23.3],[36.21 10.8 6.42],71.16
[43.14 18.23 5.33 1.35 39.68],[100.0 100.0 100.0 100.0 100.0],0.0
[25.43 43.22 23.42 42.09 25.7],[0.0 0.0 0.0 0.0 0.0],159.86
[47.44],[82.94],8.09
[20.0 20.0],[20.0 0.0],36.0
[41.98 12.47 39.27 42.68 27.54 1.21 28.58 33.99 16.13 13.65 29.87 11.92 26.62 41.28 39.76 11.5 36.35 19.77 1.15 15.65],[90.46 65.42 71.42 19.23 58.38 54.41 88.89 11.08 75.41 86.07 4.67 37.57 28.5 78.16 33.0 20.81 87.44 94.16 74.26 64.4],216.59
[37.02 36.1 18.41 26.19 33.34 35.87 8.37 45.75 36.97 34.5 20.06 27.44 27.34 13.71 23.76 33.28 46.35],[8.87 85.35 15.17 1.79 39.98 55.03 14.49 92.56 37.54 32.41 36.63 19.13 88.08 37.36 23.77 22.88 54.68],285.01
[28.71 15.55 23.27 46.87 19.76 29.19 41.51 16.95 33.36 38.75],[64.91 26.34 44.54 5.86 50.5 12.93 33.28 50.08 77.34 52.0],176.07
[10.08 1.49 16.12 28.66 48.46 27.82 47.06 4.68 7.33 5.57],[17.19 75.98 45.96 86.83 43.34 47.03 20.17 32.63 58.6 69.8],108.82
[44.33 13.21 4.88 32.27 38.8 0.65 22.57 25.41 0.43 41.87 19.54 24.91 38.27],[42.46 50.05 67.96 50.73 53.69 25.93 27.69 77.91 87.18 68.89 57.34 77.13 14.9],149.63
[30.7 13.73 42.06 33.15 49.44 33.79 40.79 30.23 42.3 12.72 22.59 49.78],[16.07 29.24 65.69 53.55 81.21 93.64 70.21 26.23 62.2 36.21 10.1 31.4],189.76
[37.98 4.52 42.68 3.86 35.09 38.56 3.17 27.3 8.56 11.76 20.98],[90.43 45.45 69.13 39.49 73.83 94.99 28.49 71.45 39.87 72.11 38.21],64.18
[16.19 29.12 21.32 24.63 39.21 16.91 44.73 16.45 16.1 37.62 43.52 35.43 40.33 28.25 13.27 1.85 36.73],[67.62 35.37 62.95 71.66 82.93 92.61 76.39 89.7 95.35 84.63 47.26 66.87 88.66 50.86 86.01 45.84 27.56],148.28
[16.3 29.5 21.21 21.87 33.83 6.23 17.05 47.45 2.11 47.82 42.38 21.99 11.83 9.94 27.34 12.02 21.62 40.75],[49.41 56.42 77.41 21.02 30.31 27.35 59.52 15.21 51.03 94.27 51.06 30.29 17.52 63.41 19.41 85.56 61.85 2.44],243.41
[29.3 25.53 0.4 32.35 11.69 9.15],[69.31 44.06 41.57 79.33 96.27 21.66],37.8
[25.46 24.83 26.64 46.03 47.85 8.62 10.61 25.08 0.2 27.51 8.84 37.04 26.83 1.76 42.12 43.17 25.59],[61.15 91.03 70.4 57.66 57.27 35.36 75.31 35.64 78.75 54.01 41.9 54.13 81.61 54.26 92.01 37.6 83.23],159.43
[29.88 13.92 33.43 31.0 22.07 17.25 42.19 48.74 29.13 29.86 11.05 23.94],[22.48 22.25 68.96 19.34 56.24 34.48 67.64 9.25 86.01 20.75 20.46 55.48],195.4
[35.41 25.49 41.62 28.07 4.06 33.13 35.85 28.81],[65.55 27.88 32.47 90.69 26.4 58.15 11.54 49.4],124.45
[31.71 6.39 43.44 43.25],[52.65 94.89 33.73 36.97],71.39
[38.3 46.76 41.13 46.72 28.36 18.47 42.96 8.17 25.71 48.87 48.86 9.78 18.74 6.78 5.57 15.57 43.68 34.06 19.75 32.05],[84.06 45.89 80.9 27.35 98.02 42.25 51.72 85.12 73.12 68.79 94.66 68.95 25.34 42.03 13.79 46.33 18.43 20.27 88.16 28.7],253.25
[31.04 6.7 41.46 31.66 12.44],[15.81 57.29 45.98 5.53 32.68],89.67
[41.02 17.41 22.48 38.02 27.01 12.78 5.36 1.3],[75.38 52.64 76.01 85.14 42.89 2.38 92.27 79.18],57.97
[16.6 23.87 36.38 13.56 11.22 11.33 28.55 10.44 16.81 2.24 22.05 15.62 41.53 42.06],[33.16 24.27 22.47 23.02 58.86 69.83 56.39 7.14 0.81 64.31 62.25 83.75 22.53 15.93],193.86
[14.82],[91.57],1.25
[32.31 14.13 15.93 25.75 39.66 40.01 42.95 19.04 41.11 43.17 18.47 46.96 38.6 5.51 41.13],[4.42 34.62 4.54 19.91 68.2 83.95 44.7 67.82 15.15 1.83 44.64 86.66 89.66 77.57 58.98],240.71
[17.84 22.77],[95.01 22.33],18.58
[16.85 19.01 12.41 4.58],[1.74 72.73 13.94 75.29],33.55
[22.7 45.6 48.66 14.28 31.18 42.55 48.39 47.54 4.84],[67.33 61.07 10.07 29.89 2.19 10.7 61.23 76.33 80.56],178.39
[47.81 34.64 22.8 5.34 48.12 48.91 7.7],[50.02 42.97 18.09 58.32 67.07 23.76 60.76],120.71
[42.7 10.96],[90.04 21.62],12.84
[29.13 44.33 3.53 24.1 16.67 28.6 30.6 23.84 46.7 8.38 44.14 9.59 39.5 14.74 36.77 11.91 42.72],[6.97 18.01 47.7 71.81 67.16 26.28 36.12 76.9 86.92 0.98 99.85 99.77 18.03 83.15 22.55 53.07 26.48],238.53
[38.83 21.68 0.98 19.07 46.22 7.33 38.18 37.25 28.71 27.96 7.07 37.96 16.08 36.91 18.44 17.13 11.17],[83.54 13.94 1.88 4.45 34.58 36.97 45.55 74.89 76.24 71.85 9.14 89.78 3.03 84.56 54.1 98.1 34.98],171.57
[14.89 48.92 45.31 29.91 6.76 43.29 29.02 5.95 24.14 1.25 30.4 40.79 31.03 32.88 15.45 12.82],[22.59 2.99 89.68 45.94 44.59 46.74 41.89 75.45 49.12 14.57 30.38 82.84 64.1 36.95 75.09 4.28],214.46
[40.81 22.44 30.2 46.39 13.96],[21.5 99.33 15.1 51.95 12.37],92.35
[43.31 17.75 4.01 18.52],[77.07 19.09 68.27 7.83],42.63
[47.28 39.58 1.57],[40.72 36.54 18.04],54.43
[0.05 0.72 10.75 9.82 44.21 49.31 13.35],[3.06 90.72 30.63 61.16 86.5 29.84 8.36],64.18
[2.53 32.3 5.67 33.51 24.29 23.8 12.4 44.71 5.66 18.59 1.77 12.6 48.55 13.31 20.95 10.71 15.52 8.91 40.59 49.11],[52.84 25.55 23.39 19.94 49.64 59.66 76.17 28.78 50.12 18.4 80.34 22.18 23.76 66.43 32.83 95.63 55.53 37.43 33.08 91.83],240.86
[25.48],[55.53],11.33
[5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73],[59.19 91.24 25.93 16.18 24.65 61.96 67.91 43.87 36.23 34.3 96.27 69.25 73.78 0.52 8.91 39.18 79.67 64.22 14.15 52.44],59.6
[37.0 19.55 45.52 10.57 21.77 49.8],[47.78 10.81 84.68 34.64 74.2 29.83],91.2
[17.78 15.01 0.23 35.63],[63.58 90.14 98.74 41.62],28.76
